clock,away_score,home_score
19:43,0,0
19:43,0,0
19:40,0,0
19:24,0,2
19:02,0,2
19:02,0,2
18:39,0,2
18:39,0,2
18:23,0,2
18:10,0,2
18:10,0,2
17:56,0,2
17:56,0,2
17:47,0,5
17:15,0,5
17:15,0,5
17:01,0,8
16:40,0,8
16:40,0,8
16:28,0,8
16:08,0,8
16:03,2,8
15:38,2,8
15:30,2,8
15:29,2,8
15:25,2,8
15:25,2,8
15:23,2,8
15:20,2,8
15:20,2,8
15:17,2,8
15:14,2,8
15:14,2,8
15:07,2,8
15:07,2,8
14:45,2,8
14:45,2,8
14:44,2,8
14:29,2,8
14:18,2,8
14:18,2,8
13:57,2,10
13:44,2,10
13:18,2,10
13:18,2,10
12:51,2,10
12:51,2,10
12:35,2,10
12:35,2,10
12:24,4,10
12:01,4,10
11:42,4,10
11:42,4,10
11:35,4,10
11:35,4,10
11:30,4,10
11:30,4,10
11:22,4,10
11:22,4,10
11:01,4,10
11:01,4,10
10:43,4,10
10:42,4,10
10:42,4,11
10:42,4,12
10:11,4,12
10:11,4,12
10:03,4,12
10:03,4,12
9:50,4,12
9:50,4,12
9:40,4,12
9:40,4,12
9:37,4,14
8:59,4,14
8:37,4,14
8:37,4,14
8:35,4,14
8:10,4,14
7:55,4,14
7:41,7,14
7:18,7,16
7:04,7,16
7:04,7,16
7:02,7,16
6:53,7,16
6:53,7,16
6:50,7,16
6:25,9,16
6:05,9,16
5:48,9,16
5:40,9,16
5:40,9,16
5:23,9,16
5:09,9,19
4:46,9,19
4:36,9,19
4:36,9,19
4:29,9,21
4:02,9,21
4:02,9,21
3:54,9,21
3:54,9,21
3:47,9,21
3:47,9,21
3:45,9,21
3:42,11,21
3:25,11,21
3:25,11,21
3:20,11,24
2:59,11,24
2:59,11,24
2:54,11,24
2:54,11,24
2:45,11,26
2:43,11,26
2:30,11,26
2:30,12,26
2:30,12,26
2:20,12,29
2:06,12,29
2:06,12,29
2:06,12,29
1:59,12,29
1:59,12,29
1:56,12,29
1:56,12,29
1:48,12,29
1:48,12,29
1:31,12,31
0:58,12,31
0:58,13,31
0:58,14,31
0:46,14,31
0:46,14,31
0:45,14,31
0:42,14,33
0:22,16,33
0:09,16,33
0:09,16,33
0:02,19,33
0:00,19,33
19:41,19,36
19:08,19,36
19:08,19,36
19:08,20,36
18:47,20,36
18:47,20,36
18:23,20,36
18:23,20,36
18:15,20,39
17:51,20,39
17:50,20,39
17:46,20,39
17:44,20,39
17:44,20,39
17:43,20,39
17:12,20,39
17:12,20,39
17:12,20,39
16:52,20,39
16:52,20,39
16:43,20,39
16:42,20,39
16:39,20,41
16:28,22,41
16:08,22,41
16:08,22,41
16:04,22,41
16:04,22,41
15:38,22,41
15:38,22,41
15:38,23,41
15:34,23,41
15:32,23,41
15:30,23,41
15:30,23,41
15:27,25,41
15:23,25,41
15:23,25,41
15:05,25,41
14:52,25,41
14:52,25,42
14:52,25,43
14:35,27,43
14:12,27,43
14:12,27,43
14:10,27,43
13:51,27,43
13:33,27,43
13:33,27,43
13:23,27,43
13:22,27,43
13:17,27,43
12:59,27,43
12:59,27,43
12:44,27,43
12:43,27,43
12:42,27,43
12:42,27,43
12:42,28,43
12:30,28,46
12:18,28,46
12:18,28,46
12:12,28,46
12:12,28,46
12:06,28,46
12:06,28,46
12:06,28,46
11:47,28,46
11:47,28,46
11:46,28,46
11:31,30,46
10:56,30,46
10:56,30,46
10:52,30,46
10:52,30,46
10:52,30,46
10:52,30,46
10:37,30,46
10:37,30,46
10:20,30,46
9:58,30,46
9:57,30,46
9:54,30,46
9:53,30,46
9:49,30,48
9:27,30,48
9:27,30,48
9:16,30,48
9:14,30,48
8:57,30,48
8:57,30,48
8:38,30,48
8:38,30,49
8:38,30,50
8:37,30,50
8:29,30,52
7:59,30,52
7:59,30,52
7:42,30,52
7:41,30,52
7:19,30,52
7:19,30,52
7:19,31,52
7:19,31,52
7:19,31,52
6:49,31,52
6:49,31,52
6:32,31,52
6:32,31,52
6:32,31,52
6:24,31,52
6:24,31,52
6:16,31,54
6:16,31,54
6:16,31,55
6:05,31,55
5:49,31,55
5:49,31,56
5:49,31,56
5:49,31,56
5:21,33,56
5:02,33,56
5:02,33,57
5:02,33,57
5:02,33,57
5:02,33,57
5:02,34,57
5:02,35,57
4:30,35,57
4:30,35,57
4:27,35,57
4:19,35,57
4:19,35,57
4:16,35,57
4:16,35,57
4:16,35,57
4:16,35,57
4:03,35,57
4:01,35,57
3:53,35,57
3:53,35,57
3:53,35,57
3:53,35,57
3:45,35,57
3:45,35,58
3:45,35,58
3:45,35,58
3:36,35,58
3:36,35,58
3:34,35,58
3:34,36,58
3:34,37,58
3:22,37,60
3:08,39,60
2:49,39,60
2:49,39,61
2:49,39,62
2:25,39,62
2:25,39,62
2:25,39,62
2:25,39,62
2:06,39,65
1:55,39,65
1:55,39,65
1:55,40,65
1:36,40,65
1:34,40,65
1:32,40,65
1:32,40,65
1:32,41,65
1:29,41,65
1:29,41,66
1:29,41,67
1:20,43,67
1:01,43,67
1:01,43,68
1:01,43,69
0:48,43,69
0:48,43,69
0:16,43,69
0:15,43,69
0:12,45,69
0:00,45,69
