clock,away_score,home_score
19:38,0,2
19:24,0,2
19:22,0,2
19:04,0,4
18:55,2,4
18:34,2,4
18:34,2,4
18:30,2,4
18:20,2,4
18:20,2,4
18:20,3,4
18:05,3,4
18:05,3,4
17:59,3,4
17:59,3,4
17:53,3,4
17:53,3,4
17:27,3,4
17:27,3,5
17:27,3,6
17:20,3,6
17:19,3,6
17:17,3,6
17:04,3,6
17:04,3,6
16:50,6,6
16:21,6,6
16:21,6,6
16:18,6,6
15:57,6,6
15:57,6,6
15:48,6,9
15:17,6,9
15:17,6,9
15:10,6,9
15:10,6,9
14:53,6,9
14:53,6,9
14:46,6,12
14:36,6,12
14:04,6,12
14:03,6,12
14:00,6,12
14:00,6,12
13:38,6,12
13:38,6,12
13:38,7,12
13:28,7,14
12:54,7,14
12:52,7,14
12:49,7,14
12:40,7,14
12:24,7,14
12:24,7,14
12:22,7,14
12:22,7,14
12:19,7,14
12:19,7,14
12:00,9,14
11:43,9,16
11:28,9,16
11:28,9,16
11:26,9,16
11:16,9,19
10:57,9,19
10:57,9,19
10:45,9,21
10:35,9,21
10:19,11,21
9:55,11,23
9:35,11,23
9:17,11,25
8:48,11,25
8:48,12,25
8:48,13,25
8:28,13,25
8:28,13,25
8:27,13,25
8:27,13,26
8:27,13,26
8:27,13,26
8:05,13,26
7:46,13,28
7:31,13,28
7:31,13,28
7:20,13,28
7:19,13,28
7:03,13,28
7:03,13,28
7:00,13,28
7:00,13,28
6:43,13,28
6:43,13,28
6:37,13,30
6:23,15,30
6:23,15,30
6:23,15,30
6:23,15,30
6:08,15,30
6:08,15,30
5:53,15,32
5:46,15,32
5:39,15,32
5:38,15,32
5:15,15,32
5:15,15,32
5:11,15,32
5:11,15,32
5:05,15,32
5:05,15,32
4:55,17,32
4:41,17,32
4:27,17,32
4:27,17,32
4:19,17,32
4:19,17,32
4:11,17,32
4:09,17,32
3:50,17,32
3:50,17,32
3:38,17,33
3:31,17,34
3:22,17,34
3:22,17,34
3:11,17,34
3:11,17,34
2:57,17,34
2:55,17,34
2:52,19,34
2:38,19,34
2:38,19,34
2:23,21,34
1:52,21,34
1:52,21,34
1:52,21,35
1:42,21,35
1:40,21,35
1:39,21,37
1:22,23,37
0:59,23,39
0:43,25,39
0:18,25,42
0:01,25,42
0:01,25,42
0:01,25,42
0:00,25,42
19:37,28,42
19:18,28,42
19:18,28,42
19:14,28,42
19:13,28,44
18:59,28,44
18:53,28,44
18:53,28,44
18:43,30,44
18:24,30,44
18:24,30,44
18:21,30,46
18:18,30,46
18:18,30,47
17:50,30,47
17:50,30,47
17:36,30,47
17:36,30,47
17:28,30,47
17:28,30,47
17:15,30,47
17:15,30,47
17:12,32,47
16:46,32,47
16:46,32,47
16:44,32,49
16:17,32,49
16:17,32,49
16:07,32,49
16:07,32,49
16:02,34,49
16:02,34,49
16:02,35,49
15:53,38,49
15:41,38,52
15:17,38,55
15:10,38,55
15:10,38,55
15:03,38,55
15:03,38,55
14:30,38,55
14:30,38,55
14:19,38,55
14:18,38,55
14:13,38,55
14:13,38,55
14:13,38,55
13:44,38,57
13:37,38,57
13:37,38,57
13:37,38,57
13:37,38,58
13:37,38,59
13:32,38,59
13:30,38,59
13:28,38,62
13:24,38,62
13:18,38,62
13:18,39,62
13:18,39,62
13:18,39,62
12:57,39,62
12:56,39,62
12:53,39,62
12:53,39,62
12:50,39,62
12:45,39,62
12:45,39,62
12:31,39,62
12:31,39,62
12:13,39,62
12:13,39,62
12:11,39,64
11:46,39,64
11:46,39,64
11:33,39,64
11:16,39,64
11:09,39,64
11:09,39,64
11:02,39,64
11:02,39,64
10:50,39,66
10:33,42,66
10:14,42,68
9:45,42,68
9:45,42,68
9:28,42,68
9:28,42,68
9:12,42,68
9:12,42,68
9:10,42,68
9:10,42,68
9:08,42,68
9:06,42,70
8:53,42,70
8:53,43,70
8:53,44,70
8:34,44,70
8:29,44,70
8:29,45,70
8:29,46,70
7:43,46,70
7:43,46,70
7:41,46,70
7:29,46,70
7:29,46,70
7:26,46,70
7:26,46,70
7:00,46,72
6:23,46,72
6:23,47,72
6:23,47,72
6:23,48,72
6:16,48,72
6:15,48,72
6:09,48,72
6:09,48,72
5:59,48,74
5:34,48,74
5:34,48,74
5:25,48,77
5:05,48,77
5:05,48,77
4:58,48,79
4:58,48,79
4:58,48,80
4:51,48,80
4:51,49,80
4:51,49,80
4:51,49,80
4:45,49,80
4:32,49,80
4:32,49,80
4:11,49,83
3:50,51,83
3:21,51,83
3:21,51,83
3:21,51,83
3:14,51,83
3:14,52,83
3:14,52,83
3:14,52,83
2:58,52,83
2:48,52,83
2:48,52,83
2:46,52,83
2:26,52,83
2:26,52,84
2:26,52,84
2:26,52,84
2:02,52,84
1:49,52,86
1:31,52,86
1:31,52,86
1:22,52,86
1:22,52,87
1:22,52,87
1:22,52,87
1:06,55,87
0:53,55,87
0:53,55,87
0:43,55,87
0:43,55,87
0:31,55,87
0:31,55,87
0:24,55,87
0:24,56,87
0:24,57,87
0:00,57,87
