clock,away_score,home_score
19:44,0,0
19:44,0,0
19:42,0,0
19:42,0,0
19:42,0,1
19:19,0,1
18:59,0,1
18:59,0,1
18:47,0,1
18:47,0,1
18:39,0,4
18:25,0,4
18:25,0,4
18:15,0,4
18:15,0,4
17:52,0,4
17:52,0,4
17:45,0,6
17:29,2,6
17:29,2,6
17:29,3,6
17:14,3,9
17:05,6,9
16:56,6,9
16:27,6,9
16:27,6,9
16:19,6,9
16:19,6,10
16:19,6,11
15:58,6,11
15:57,6,11
15:43,6,11
15:43,6,11
15:28,6,11
15:28,6,11
15:19,6,11
15:19,6,11
14:52,6,11
14:52,6,11
14:52,6,11
14:52,6,12
14:25,6,12
14:25,6,12
14:15,6,12
14:15,6,12
14:10,6,14
14:00,6,14
14:00,7,14
14:00,8,14
13:40,8,16
13:17,8,16
13:17,8,16
13:13,8,16
13:13,8,16
13:11,8,16
12:53,8,16
12:53,8,16
12:39,8,16
12:39,8,16
12:22,8,16
12:22,8,16
12:04,8,16
12:04,8,16
11:52,8,16
11:52,8,16
11:32,8,16
11:32,8,16
11:31,8,16
11:18,8,16
11:14,8,16
11:14,8,16
10:55,8,16
10:55,8,16
10:41,10,16
10:34,10,16
10:34,10,16
10:33,10,16
10:33,10,16
10:32,10,16
10:13,10,17
10:13,10,17
10:13,10,18
9:55,10,18
9:55,10,18
9:53,12,18
9:53,12,18
9:53,13,18
9:19,13,18
9:19,13,18
9:00,13,18
9:00,13,18
8:57,13,18
8:54,13,18
8:54,13,18
8:54,13,18
8:31,15,18
8:14,15,20
7:55,15,20
7:46,15,20
7:46,15,20
7:44,15,20
7:41,15,20
7:41,15,20
7:41,15,20
7:30,15,20
7:30,15,20
7:25,15,20
7:25,15,20
7:03,16,20
7:03,16,20
7:03,17,20
6:51,17,20
6:51,17,20
6:40,17,20
6:40,17,20
6:40,18,20
6:23,18,21
6:23,18,21
6:23,18,22
6:16,18,22
6:16,18,22
5:45,18,22
5:37,18,22
5:37,18,22
5:24,18,24
5:11,21,24
4:55,21,24
4:55,21,24
4:42,21,24
4:42,21,24
4:40,21,24
4:40,21,24
4:40,22,24
4:22,22,25
4:22,22,25
4:22,22,26
4:08,22,26
4:08,22,26
3:59,22,26
3:58,22,26
3:56,24,26
3:43,24,28
3:30,24,28
3:30,24,28
3:22,24,30
3:05,24,30
3:05,24,30
2:56,24,32
2:56,24,32
2:45,24,32
2:45,24,32
2:45,24,32
2:45,24,32
2:45,24,33
2:45,24,34
2:12,24,34
2:12,24,34
2:03,24,37
1:26,24,37
1:25,24,37
1:21,24,39
1:14,24,39
0:51,24,39
0:51,24,39
0:50,24,39
0:45,24,42
0:07,24,42
0:07,24,42
0:01,24,45
0:00,24,45
19:33,26,45
18:58,26,45
18:58,26,45
18:57,26,45
18:54,26,45
18:54,26,45
18:50,26,47
18:38,28,47
18:06,28,49
17:42,28,49
17:40,28,49
17:39,28,49
17:31,28,49
17:31,28,49
17:26,28,51
17:20,28,51
17:20,28,51
16:56,28,51
16:56,28,51
16:46,28,51
16:45,28,51
16:43,28,53
16:22,28,53
16:22,28,53
16:20,28,53
16:18,28,53
16:18,28,53
16:13,28,53
16:13,28,53
15:57,28,55
15:38,31,55
15:27,31,55
15:27,31,55
15:21,31,55
15:21,31,55
15:17,31,55
15:17,31,55
15:10,31,55
15:10,31,55
14:49,31,57
14:28,31,57
14:28,31,57
14:25,31,57
14:25,31,57
14:18,31,59
13:45,31,59
13:45,31,59
13:39,31,59
13:16,31,59
13:15,31,59
13:08,31,59
13:08,31,59
12:54,31,59
12:54,31,59
12:51,31,59
12:51,31,59
12:34,31,59
12:34,31,59
12:32,31,59
12:30,31,59
12:05,31,59
12:03,31,59
11:56,31,62
11:35,33,62
11:20,33,62
10:57,33,65
10:41,35,65
10:22,35,65
10:22,35,66
10:22,35,66
10:22,35,66
10:08,35,66
10:08,35,66
9:53,35,66
9:53,35,66
9:45,37,66
9:28,37,66
9:27,37,66
8:59,37,66
8:56,37,66
8:37,39,66
8:18,39,66
8:16,39,66
8:15,39,66
8:15,39,66
7:56,39,66
7:56,39,66
7:27,39,66
7:27,39,66
7:22,39,68
6:53,39,68
6:53,39,68
6:45,39,68
6:43,39,68
6:39,41,68
6:28,41,68
6:17,41,68
6:17,41,68
5:54,41,71
5:43,41,71
5:41,41,71
5:41,41,71
5:09,41,71
5:08,41,71
5:05,41,71
4:43,41,73
4:25,41,73
4:25,41,73
4:15,41,73
4:15,41,73
4:06,41,73
4:06,41,73
3:35,41,73
3:35,41,73
3:07,41,73
3:07,41,73
3:04,41,73
3:04,41,73
2:57,41,73
2:43,43,73
2:43,43,73
2:43,44,73
2:20,44,73
2:20,44,73
2:09,46,73
1:50,46,73
1:50,46,73
1:39,48,73
1:02,48,75
0:46,48,75
0:35,48,75
0:35,48,75
0:07,48,75
0:03,48,75
0:03,48,75
0:00,48,75
0:00,48,75
0:00,48,75
0:00,48,75
