clock,away_score,home_score
19:47,0,2
19:42,0,2
19:33,0,4
19:11,2,4
18:48,2,6
18:23,2,6
18:23,2,6
18:14,2,6
18:13,2,6
18:11,2,6
17:46,2,6
17:46,2,6
17:29,2,6
17:29,2,6
17:15,2,8
16:56,2,8
16:54,2,8
16:51,2,8
16:51,2,8
16:51,2,8
16:51,2,8
16:51,2,8
16:51,2,8
16:21,2,8
16:21,2,8
16:10,4,8
15:54,4,8
15:54,4,8
15:52,6,8
15:09,6,8
15:09,6,8
15:09,6,8
14:56,6,8
14:56,6,8
14:46,6,8
14:46,6,8
14:42,6,8
14:42,7,8
14:42,8,8
14:25,8,8
14:25,8,8
14:25,8,8
14:25,8,8
14:21,8,8
14:21,8,8
14:13,8,8
14:13,8,8
14:08,8,8
14:08,8,8
14:06,8,8
14:04,8,8
13:47,8,10
13:24,10,10
13:24,10,10
13:24,11,10
13:05,11,12
13:05,11,12
13:05,11,12
13:05,11,12
12:51,11,12
12:22,11,12
12:22,11,12
12:16,11,14
12:01,14,14
11:29,14,14
11:29,14,14
11:12,14,14
11:12,14,14
11:05,14,16
10:46,14,16
10:46,14,16
10:40,14,16
10:40,14,16
10:40,14,16
10:40,14,16
10:35,14,16
10:35,14,16
10:34,14,16
10:08,14,16
10:07,14,16
10:02,14,16
10:02,14,16
10:02,14,16
10:02,14,16
9:59,14,18
9:42,14,18
9:41,14,18
9:41,14,18
9:33,16,18
9:20,16,20
9:02,16,20
9:01,16,20
8:56,16,20
8:56,16,20
8:38,16,20
8:38,16,20
8:27,16,22
8:27,16,22
8:27,16,23
8:17,16,23
8:17,16,23
8:12,16,23
8:10,16,23
8:06,16,23
8:06,16,23
7:59,16,23
7:57,16,23
7:55,16,23
7:54,16,23
7:52,16,23
7:52,16,23
7:49,16,23
7:46,16,25
7:30,16,25
7:29,16,25
7:28,16,27
7:13,16,27
7:13,16,27
6:56,16,27
6:56,16,28
6:56,16,29
6:43,16,29
6:43,16,29
6:31,16,29
6:29,16,29
6:29,16,29
6:19,18,29
6:01,18,29
6:01,18,29
5:45,18,29
5:45,18,29
5:36,18,29
5:35,18,29
5:29,18,29
5:28,18,29
5:25,18,31
5:06,21,31
4:49,21,31
4:49,21,32
4:49,21,33
4:39,21,33
4:16,21,33
4:16,21,34
4:16,21,35
4:04,21,35
4:04,21,35
4:04,21,35
3:57,21,35
3:56,21,35
3:54,21,37
3:35,21,37
3:19,21,37
3:19,21,37
2:53,21,37
2:53,21,37
2:49,21,37
2:49,21,37
2:46,21,37
2:46,21,37
2:46,22,37
2:40,22,37
2:40,22,37
2:23,22,37
2:18,22,37
2:18,22,38
2:18,22,38
2:18,22,38
2:14,22,38
2:04,22,38
2:04,22,38
1:55,22,40
1:42,22,40
1:41,22,40
1:38,22,40
1:38,22,40
1:19,24,40
1:00,24,43
0:34,26,43
0:34,26,43
0:28,26,43
0:13,26,43
0:13,26,43
0:06,26,43
0:06,26,43
0:06,26,43
0:06,26,43
0:00,26,43
19:42,26,43
19:42,26,43
19:32,26,43
19:32,26,43
19:14,28,43
19:14,28,43
19:14,28,43
19:14,28,43
19:01,28,43
19:01,28,43
18:48,28,43
18:46,28,43
18:43,28,43
18:43,28,43
18:37,28,43
18:37,28,43
18:37,29,43
18:37,30,43
18:10,30,43
18:05,30,43
17:48,30,43
17:48,30,43
17:23,30,43
17:23,30,43
17:23,30,43
17:23,30,43
17:22,30,43
17:22,30,43
17:22,30,45
17:22,30,45
17:22,30,45
17:19,33,45
17:07,33,45
17:06,33,45
16:55,33,45
16:55,33,45
16:20,33,45
16:20,33,45
16:08,33,45
16:08,33,45
16:07,33,45
16:03,33,48
15:54,35,48
14:56,35,50
14:51,35,50
14:40,38,50
14:15,38,50
14:15,38,50
14:15,38,51
14:05,38,51
14:05,38,51
13:56,38,51
13:49,38,51
13:29,38,51
13:29,38,51
13:23,38,51
13:23,38,51
13:15,38,51
13:13,38,53
12:57,38,53
12:56,38,53
12:52,38,53
12:52,38,53
12:49,38,53
12:49,38,53
12:49,38,54
12:19,38,54
12:19,38,54
12:16,38,54
12:16,38,54
12:05,40,54
11:54,40,54
11:54,40,54
11:54,40,54
11:54,40,55
11:36,40,55
11:36,40,55
11:29,40,55
11:29,40,55
11:24,40,58
10:58,40,58
10:49,40,58
10:49,40,58
10:40,40,58
10:40,40,58
10:33,40,58
10:33,40,58
10:16,40,58
10:06,40,60
9:51,40,60
9:51,40,60
9:39,40,62
9:23,40,62
9:23,40,62
9:18,40,62
9:17,40,62
9:16,40,62
9:15,40,62
9:14,40,62
9:14,40,62
9:12,40,62
9:04,40,62
9:03,40,62
8:56,43,62
8:53,43,62
8:42,43,62
