clock,away_score,home_score
19:41,3,0
19:15,3,2
18:59,3,2
18:59,3,2
18:37,3,5
18:26,3,5
18:26,3,5
18:20,3,7
17:54,3,7
17:53,3,7
17:49,3,7
17:47,3,9
17:47,3,9
17:47,3,9
17:47,3,9
17:38,3,9
17:38,3,9
17:35,3,9
17:35,3,9
17:29,3,9
17:22,3,9
17:22,3,9
17:11,3,9
17:11,3,9
17:04,3,9
16:42,3,12
16:26,5,12
16:07,5,12
16:07,5,12
16:03,5,12
15:49,5,12
15:49,5,12
15:49,5,12
15:49,5,12
15:49,5,12
15:29,7,12
15:02,7,12
15:02,7,12
14:56,7,15
14:50,7,15
14:50,7,15
14:46,7,15
14:46,7,15
14:33,7,15
14:10,9,15
13:56,9,15
13:56,9,15
13:54,9,15
13:49,9,15
13:49,9,15
13:44,9,15
13:44,10,15
13:44,11,15
13:21,11,15
13:21,11,15
13:14,11,15
13:14,11,15
13:03,11,15
13:03,11,16
13:03,11,16
13:03,11,16
12:46,11,16
12:46,11,16
12:46,12,16
12:31,12,19
12:20,12,19
12:20,12,19
12:02,12,21
11:51,12,21
11:51,12,21
11:26,12,23
11:23,12,23
11:19,12,23
11:19,12,23
11:16,14,23
11:01,14,23
10:40,14,23
10:40,14,23
10:36,14,23
10:36,14,23
10:31,14,23
10:31,14,23
9:54,14,26
9:45,14,26
9:45,14,26
9:38,14,26
9:38,14,26
9:29,14,26
9:29,14,26
9:29,14,26
9:29,14,26
9:13,14,26
9:13,14,26
9:08,14,26
8:53,14,28
8:53,14,28
8:53,14,29
8:39,14,29
8:39,15,29
8:39,16,29
8:31,16,29
8:06,16,29
8:06,16,29
8:03,16,29
8:03,16,29
7:56,16,29
7:56,16,29
7:54,16,29
7:51,16,31
7:36,16,31
7:36,16,31
7:34,16,31
7:11,16,31
7:11,16,31
6:57,16,31
6:57,16,31
6:45,16,33
6:31,19,33
6:10,19,33
6:10,19,33
5:58,19,33
5:58,19,33
5:39,19,35
5:19,22,35
4:58,22,37
4:45,22,37
4:45,22,37
4:34,22,39
4:34,22,39
4:28,24,39
4:10,24,42
3:52,26,42
3:30,26,42
3:30,26,42
3:22,28,42
3:10,28,42
2:53,28,45
2:36,28,45
2:36,28,45
2:33,28,45
2:31,28,45
2:31,28,46
2:31,28,47
2:01,28,47
2:01,28,47
2:01,28,47
2:01,28,47
1:51,28,47
1:51,28,47
1:51,28,47
1:39,28,47
1:39,28,47
1:39,28,47
1:22,28,47
1:22,28,47
1:19,28,47
1:19,28,47
1:19,28,47
1:13,28,47
1:13,28,47
1:03,28,47
1:03,28,47
0:50,28,47
0:50,28,47
0:32,28,47
0:32,28,47
0:30,28,47
0:09,28,49
0:00,28,49
19:48,30,49
19:33,30,49
19:16,30,49
19:16,30,49
18:43,30,49
18:43,30,49
18:37,30,49
18:37,31,49
18:37,32,49
18:09,32,51
17:56,32,51
17:56,32,51
17:48,32,51
17:48,32,51
17:43,34,51
17:43,34,51
17:43,34,51
17:43,34,51
17:26,34,51
17:26,34,52
17:26,34,53
17:14,34,53
17:14,34,53
17:05,34,53
16:54,36,53
16:40,36,53
16:38,36,53
16:36,38,53
16:36,38,53
16:23,38,53
16:23,38,53
16:19,38,53
16:19,38,53
16:14,38,55
16:02,38,55
16:02,38,55
16:02,38,55
15:43,38,55
15:43,38,55
15:23,38,55
15:23,38,55
15:02,38,55
14:46,38,55
14:46,38,55
14:41,38,55
14:41,38,55
14:39,38,55
14:39,39,55
14:39,40,55
