clock,away_score,home_score
20:00,0,0
19:43,0,0
19:43,0,0
19:22,0,0
19:22,0,0
18:44,0,0
18:44,0,0
18:30,0,0
18:30,0,0
18:17,0,2
17:58,2,2
17:31,2,2
17:31,2,2
17:25,2,4
17:02,2,4
17:02,2,4
17:02,2,4
16:51,2,4
16:51,2,4
16:38,2,4
16:38,2,4
16:33,2,6
16:15,2,6
16:15,2,6
15:59,2,8
15:42,2,8
15:42,2,8
15:31,2,8
15:31,2,8
15:26,2,8
15:26,2,8
15:09,5,8
14:49,5,8
14:49,5,8
14:43,5,8
14:43,5,8
14:32,5,10
14:15,5,10
14:15,5,10
14:10,5,12
13:48,5,12
13:48,5,12
13:42,7,12
13:35,7,12
13:10,7,14
12:49,7,14
12:49,7,14
12:36,7,14
12:36,7,14
12:30,7,14
12:30,7,14
12:28,7,14
12:28,7,14
12:28,7,14
12:28,7,14
11:55,7,14
11:52,7,14
11:52,7,14
11:27,7,14
11:27,7,14
11:27,7,14
11:27,7,14
11:27,7,16
11:03,7,16
11:03,7,16
10:57,7,18
10:23,10,18
9:56,10,18
9:56,10,18
9:50,10,18
9:50,10,18
9:27,10,18
9:12,10,18
9:12,10,18
9:05,10,18
9:05,10,18
9:05,10,18
9:05,10,18
8:41,10,18
8:41,10,18
8:33,10,18
8:33,10,18
8:28,10,21
7:56,10,21
7:56,10,21
7:44,10,23
7:41,10,23
7:25,10,23
7:25,10,23
6:58,10,25
6:58,10,25
6:39,10,25
6:58,10,25
6:39,10,25
6:39,10,25
6:39,10,25
6:38,10,25
6:25,10,25
6:25,10,25
5:48,10,25
5:48,10,25
5:42,13,25
5:28,13,25
5:17,13,28
5:02,15,28
4:39,15,28
4:39,15,28
4:02,15,28
4:02,15,28
3:50,15,28
3:50,15,28
3:50,16,28
3:50,16,28
3:50,16,28
3:32,16,28
3:00,18,28
2:28,18,31
2:28,18,31
2:28,18,31
2:22,18,31
2:22,18,31
2:22,18,31
2:14,18,31
2:14,18,31
2:10,19,31
2:10,19,31
2:10,20,31
1:59,20,31
1:42,20,31
1:42,20,31
1:19,20,31
1:19,20,31
1:10,20,31
1:10,20,31
1:06,20,33
0:43,20,33
0:43,20,33
0:29,20,33
0:29,20,33
0:14,23,33
0:00,23,33
20:00,23,33
19:25,25,33
19:05,25,33
19:03,25,33
19:03,25,33
18:51,27,33
18:22,27,33
18:22,27,33
18:16,27,33
18:16,27,33
18:12,27,33
18:12,27,33
18:12,27,33
17:57,27,35
17:37,27,35
17:30,27,35
17:17,27,38
16:56,29,38
16:37,29,41
16:37,29,41
16:37,29,42
16:08,29,42
16:08,29,42
15:58,29,42
15:58,29,42
15:58,29,43
15:58,29,43
15:58,29,43
15:22,29,43
15:07,29,43
15:07,29,43
14:53,29,43
14:44,29,43
14:44,29,43
14:22,29,43
14:22,29,43
14:06,29,43
14:06,29,43
14:01,29,43
13:35,29,43
13:35,29,43
13:35,29,43
13:35,29,43
13:23,29,43
13:23,29,43
13:15,29,43
13:15,29,44
13:15,29,45
13:07,29,45
13:07,29,45
13:00,29,45
13:00,29,45
12:37,29,45
12:37,29,45
12:10,29,45
12:10,29,45
12:04,31,45
11:43,31,45
11:43,31,45
11:36,31,45
11:36,31,45
11:21,31,45
11:21,31,45
11:21,31,45
11:06,31,45
11:06,31,45
10:48,31,47
10:48,31,47
10:48,31,47
10:48,31,47
10:37,31,47
10:37,31,47
10:25,31,50
10:10,31,50
10:10,31,50
9:47,31,50
9:47,31,50
9:40,31,50
9:40,31,50
9:35,33,50
9:08,33,50
9:08,33,50
8:57,33,50
8:57,33,50
8:57,33,50
8:49,35,50
8:30,35,53
7:49,35,53
7:49,35,53
7:44,35,55
7:27,35,55
7:27,35,55
7:18,35,58
7:11,35,58
6:51,35,58
6:51,35,58
6:51,35,58
6:51,36,58
6:30,36,61
5:56,38,61
5:34,38,64
5:34,38,64
5:34,38,64
5:34,38,64
5:17,38,64
5:17,38,64
5:13,38,64
5:13,38,64
5:07,38,64
5:07,39,64
5:07,39,64
5:07,39,64
4:38,39,64
4:38,39,64
4:26,39,64
4:15,41,64
3:51,41,66
3:29,41,66
3:29,41,66
3:07,41,66
3:07,41,66
3:00,44,66
2:37,44,66
2:37,44,66
2:37,44,66
2:37,44,67
2:23,44,67
2:23,44,67
2:23,44,67
2:17,44,70
1:51,44,70
1:51,44,70
1:42,44,70
1:42,44,70
1:34,44,70
1:34,44,71
1:34,44,72
1:25,46,72
1:06,46,72
1:06,46,72
1:06,46,72
1:02,46,72
1:02,46,72
0:54,46,72
0:54,46,72
0:49,48,72
0:17,48,72
0:17,48,72
0:12,50,72
0:00,50,72
