Wk,Date,Rk,School,Prev,Chng,Conf
20,Final,1,North Carolina* RTF,1,NC,ACC
20,Final,2,Memphis* RTF,2,NC,CUSA
20,Final,3,UCLA* RTF,3,NC,Pac-10
20,Final,4,Kansas* RTFN,5,1,Big 12
20,Final,5,Tennessee* R,4,1,SEC
20,Final,6,Wisconsin* RT,8,2,Big Ten
20,Final,7,Texas* R,6,1,Big 12
20,Final,8,Georgetown* R,9,1,Big East
20,Final,9,Duke*,7,2,ACC
20,Final,10,Stanford*,11,1,Pac-10
20,Final,11,Butler* RT,12,1,Horizon
20,Final,12,Xavier* R,10,2,A-10
20,Final,13,Louisville*,13,NC,Big East
20,Final,14,Drake* RT,16,2,MVC
20,Final,15,Notre Dame*,14,1,Big East
20,Final,16,Connecticut*,15,1,Big East
20,Final,17,Pittsburgh* T,,,Big East
20,Final,18,Michigan State*,19,1,Big Ten
20,Final,19,Vanderbilt*,18,1,SEC
20,Final,20,Purdue*,17,3,Big Ten
20,Final,21,Washington State*,21,NC,Pac-10
20,Final,22,Clemson*,,,ACC
20,Final,23,Davidson* RT,23,NC,Southern
20,Final,24,Gonzaga* R,20,4,WCC
20,Final,25,Marquette*,25,NC,Big East
Wk,Date,Rk,School,Prev,Chng,Conf
19,2008-03-10,1,North Carolina* RTF,1,NC,ACC
19,2008-03-10,2,Memphis* RTF,2,NC,CUSA
19,2008-03-10,3,UCLA* RTF,3,NC,Pac-10
19,2008-03-10,4,Tennessee* R,4,NC,SEC
19,2008-03-10,5,Kansas* RTFN,5,NC,Big 12
19,2008-03-10,6,Texas* R,9,3,Big 12
19,2008-03-10,7,Duke*,6,1,ACC
19,2008-03-10,8,Wisconsin* RT,10,2,Big Ten
19,2008-03-10,9,Georgetown* R,11,2,Big East
19,2008-03-10,10,Xavier* R,8,2,A-10
19,2008-03-10,11,Stanford*,7,4,Pac-10
19,2008-03-10,12,Butler* RT,14,2,Horizon
19,2008-03-10,13,Louisville*,12,1,Big East
19,2008-03-10,14,Notre Dame*,19,5,Big East
19,2008-03-10,15,Connecticut*,13,2,Big East
19,2008-03-10,16,Drake* RT,20,4,MVC
19,2008-03-10,17,Purdue*,15,2,Big Ten
19,2008-03-10,18,Vanderbilt*,16,2,SEC
19,2008-03-10,19,Michigan State*,17,2,Big Ten
19,2008-03-10,20,Gonzaga* R,22,2,WCC
19,2008-03-10,21,Washington State*,23,2,Pac-10
19,2008-03-10,22,Indiana*,18,4,Big Ten
19,2008-03-10,23,Davidson* RT,25,2,Southern
19,2008-03-10,24,Brigham Young* R,,,MWC
19,2008-03-10,25,Marquette*,21,4,Big East
Wk,Date,Rk,School,Prev,Chng,Conf
18,2008-03-03,1,North Carolina* RTF,3,2,ACC
18,2008-03-03,2,Memphis* RTF,2,NC,CUSA
18,2008-03-03,3,UCLA* RTF,4,1,Pac-10
18,2008-03-03,4,Tennessee* R,1,3,SEC
18,2008-03-03,5,Kansas* RTFN,6,1,Big 12
18,2008-03-03,6,Duke*,7,1,ACC
18,2008-03-03,7,Stanford*,8,1,Pac-10
18,2008-03-03,8,Xavier* R,9,1,A-10
18,2008-03-03,9,Texas* R,5,4,Big 12
18,2008-03-03,10,Wisconsin* RT,10,NC,Big Ten
18,2008-03-03,11,Georgetown* R,11,NC,Big East
18,2008-03-03,12,Louisville*,13,1,Big East
18,2008-03-03,13,Connecticut*,15,2,Big East
18,2008-03-03,14,Butler* RT,14,NC,Horizon
18,2008-03-03,15,Purdue*,16,1,Big Ten
18,2008-03-03,16,Vanderbilt*,18,2,SEC
18,2008-03-03,17,Michigan State*,19,2,Big Ten
18,2008-03-03,18,Indiana*,12,6,Big Ten
18,2008-03-03,19,Notre Dame*,17,2,Big East
18,2008-03-03,20,Drake* RT,20,NC,MVC
18,2008-03-03,21,Marquette*,21,NC,Big East
18,2008-03-03,22,Gonzaga* R,24,2,WCC
18,2008-03-03,23,Washington State*,22,1,Pac-10
18,2008-03-03,24,Clemson*,,,ACC
18,2008-03-03,25,Davidson* RT,,,Southern
Wk,Date,Rk,School,Prev,Chng,Conf
17,2008-02-25,1,Tennessee* R,2,1,SEC
17,2008-02-25,2,Memphis* RTF,1,1,CUSA
17,2008-02-25,3,North Carolina* RTF,3,NC,ACC
17,2008-02-25,4,UCLA* RTF,6,2,Pac-10
17,2008-02-25,5,Texas* R,7,2,Big 12
17,2008-02-25,6,Kansas* RTFN,4,2,Big 12
17,2008-02-25,7,Duke*,5,2,ACC
17,2008-02-25,8,Stanford*,9,1,Pac-10
17,2008-02-25,9,Xavier* R,10,1,A-10
17,2008-02-25,10,Wisconsin* RT,11,1,Big Ten
17,2008-02-25,11,Georgetown* R,12,1,Big East
17,2008-02-25,12,Indiana*,15,3,Big Ten
17,2008-02-25,13,Louisville*,18,5,Big East
17,2008-02-25,14,Butler* RT,8,6,Horizon
17,2008-02-25,15,Connecticut*,13,2,Big East
17,2008-02-25,16,Purdue*,14,2,Big Ten
17,2008-02-25,17,Notre Dame*,21,4,Big East
17,2008-02-25,18,Vanderbilt*,20,2,SEC
17,2008-02-25,19,Michigan State*,19,NC,Big Ten
17,2008-02-25,20,Drake* RT,16,4,MVC
17,2008-02-25,21,Marquette*,25,4,Big East
17,2008-02-25,22,Washington State*,17,5,Pac-10
17,2008-02-25,23,Kent State* RT,,,MAC
17,2008-02-25,24,Gonzaga* R,,,WCC
17,2008-02-25,25,Saint Mary's (CA)*,23,2,WCC
Wk,Date,Rk,School,Prev,Chng,Conf
16,2008-02-18,1,Memphis* RTF,1,NC,CUSA
16,2008-02-18,2,Tennessee* R,4,2,SEC
16,2008-02-18,3,North Carolina* RTF,5,2,ACC
16,2008-02-18,4,Kansas* RTFN,3,1,Big 12
16,2008-02-18,5,Duke*,2,3,ACC
16,2008-02-18,6,UCLA* RTF,6,NC,Pac-10
16,2008-02-18,7,Texas* R,11,4,Big 12
16,2008-02-18,8,Butler* RT,9,1,Horizon
16,2008-02-18,9,Stanford*,7,2,Pac-10
16,2008-02-18,10,Xavier* R,12,2,A-10
16,2008-02-18,11,Wisconsin* RT,15,4,Big Ten
16,2008-02-18,12,Georgetown* R,8,4,Big East
16,2008-02-18,13,Connecticut*,17,4,Big East
16,2008-02-18,14,Purdue*,19,5,Big Ten
16,2008-02-18,15,Indiana*,13,2,Big Ten
16,2008-02-18,16,Drake* RT,14,2,MVC
16,2008-02-18,17,Washington State*,21,4,Pac-10
16,2008-02-18,18,Louisville*,23,5,Big East
16,2008-02-18,19,Michigan State*,10,9,Big Ten
16,2008-02-18,20,Vanderbilt*,24,4,SEC
16,2008-02-18,21,Notre Dame*,20,1,Big East
16,2008-02-18,22,Texas A&M*,16,6,Big 12
16,2008-02-18,23,Saint Mary's (CA)*,25,2,WCC
16,2008-02-18,24,Kansas State*,18,6,Big 12
16,2008-02-18,25,Marquette*,,,Big East
Wk,Date,Rk,School,Prev,Chng,Conf
15,2008-02-11,1,Memphis* RTF,1,NC,CUSA
15,2008-02-11,2,Duke*,2,NC,ACC
15,2008-02-11,3,Kansas* RTFN,4,1,Big 12
15,2008-02-11,4,Tennessee* R,7,3,SEC
15,2008-02-11,5,North Carolina* RTF,3,2,ACC
15,2008-02-11,6,UCLA* RTF,5,1,Pac-10
15,2008-02-11,7,Stanford*,9,2,Pac-10
15,2008-02-11,8,Georgetown* R,6,2,Big East
15,2008-02-11,9,Butler* RT,10,1,Horizon
15,2008-02-11,10,Michigan State*,11,1,Big Ten
15,2008-02-11,11,Texas* R,12,1,Big 12
15,2008-02-11,12,Xavier* R,13,1,A-10
15,2008-02-11,13,Indiana*,14,1,Big Ten
15,2008-02-11,14,Drake* RT,15,1,MVC
15,2008-02-11,15,Wisconsin* RT,8,7,Big Ten
15,2008-02-11,16,Texas A&M*,18,2,Big 12
15,2008-02-11,17,Connecticut*,19,2,Big East
15,2008-02-11,18,Kansas State*,20,2,Big 12
15,2008-02-11,19,Purdue*,24,5,Big Ten
15,2008-02-11,20,Notre Dame*,22,2,Big East
15,2008-02-11,21,Washington State*,17,4,Pac-10
15,2008-02-11,22,Pittsburgh* T,21,1,Big East
15,2008-02-11,23,Louisville*,,,Big East
15,2008-02-11,24,Vanderbilt*,23,1,SEC
15,2008-02-11,25,Saint Mary's (CA)*,25,NC,WCC
Wk,Date,Rk,School,Prev,Chng,Conf
14,2008-02-04,1,Memphis* RTF,1,NC,CUSA
14,2008-02-04,2,Duke*,3,1,ACC
14,2008-02-04,3,North Carolina* RTF,4,1,ACC
14,2008-02-04,4,Kansas* RTFN,2,2,Big 12
14,2008-02-04,5,UCLA* RTF,5,NC,Pac-10
14,2008-02-04,6,Georgetown* R,6,NC,Big East
14,2008-02-04,7,Tennessee* R,7,NC,SEC
14,2008-02-04,8,Wisconsin* RT,13,5,Big Ten
14,2008-02-04,9,Stanford*,14,5,Pac-10
14,2008-02-04,10,Butler* RT,12,2,Horizon
14,2008-02-04,11,Michigan State*,8,3,Big Ten
14,2008-02-04,12,Texas* R,10,2,Big 12
14,2008-02-04,13,Xavier* R,15,2,A-10
14,2008-02-04,14,Indiana*,11,3,Big Ten
14,2008-02-04,15,Drake* RT,16,1,MVC
14,2008-02-04,16,Marquette*,17,1,Big East
14,2008-02-04,17,Washington State*,9,8,Pac-10
14,2008-02-04,18,Texas A&M*,23,5,Big 12
14,2008-02-04,19,Connecticut*,,,Big East
14,2008-02-04,20,Kansas State*,22,2,Big 12
14,2008-02-04,21,Pittsburgh* T,18,3,Big East
14,2008-02-04,22,Notre Dame*,,,Big East
14,2008-02-04,23,Vanderbilt*,19,4,SEC
14,2008-02-04,24,Purdue*,,,Big Ten
14,2008-02-04,25,Saint Mary's (CA)*,21,4,WCC
Wk,Date,Rk,School,Prev,Chng,Conf
13,2008-01-28,1,Memphis* RTF,1,NC,CUSA
13,2008-01-28,2,Kansas* RTFN,2,NC,Big 12
13,2008-01-28,3,Duke*,4,1,ACC
13,2008-01-28,4,North Carolina* RTF,5,1,ACC
13,2008-01-28,5,UCLA* RTF,8,3,Pac-10
13,2008-01-28,6,Georgetown* R,9,3,Big East
13,2008-01-28,7,Tennessee* R,3,4,SEC
13,2008-01-28,8,Michigan State*,10,2,Big Ten
13,2008-01-28,9,Washington State*,6,3,Pac-10
13,2008-01-28,10,Texas* R,12,2,Big 12
13,2008-01-28,11,Indiana*,7,4,Big Ten
13,2008-01-28,12,Butler* RT,15,3,Horizon
13,2008-01-28,13,Wisconsin* RT,11,2,Big Ten
13,2008-01-28,14,Stanford*,20,6,Pac-10
13,2008-01-28,15,Xavier* R,23,8,A-10
13,2008-01-28,16,Drake* RT,22,6,MVC
13,2008-01-28,17,Marquette*,21,4,Big East
13,2008-01-28,18,Pittsburgh* T,13,5,Big East
13,2008-01-28,19,Vanderbilt*,14,5,SEC
13,2008-01-28,20,Florida,,,SEC
13,2008-01-28,21,Saint Mary's (CA)*,,,WCC
13,2008-01-28,22,Kansas State*,,,Big 12
13,2008-01-28,23,Texas A&M*,18,5,Big 12
13,2008-01-28,24,Mississippi,17,7,SEC
