Wk,Date,Rk,School,Prev,Chng,Conf
19,Final,1,Louisville* RT,5,4,Big East
19,Final,2,North Carolina* RFN,1,1,ACC
19,Final,3,Memphis* RT,4,1,CUSA
19,Final,4,Pittsburgh*,2,2,Big East
19,Final,5,Connecticut* F,3,2,Big East
19,Final,6,Duke* T,9,3,ACC
19,Final,7,Oklahoma*,6,1,Big 12
19,Final,8,Michigan State* RF,7,1,Big Ten
19,Final,9,Missouri* T,14,5,Big 12
19,Final,10,Gonzaga* RT,12,2,WCC
19,Final,11,Villanova* F,10,1,Big East
19,Final,12,Wake Forest*,8,4,ACC
19,Final,13,Syracuse*,18,5,Big East
19,Final,14,Kansas* R,11,3,Big 12
19,Final,15,Washington* R,13,2,Pac-10
19,Final,16,Florida State*,22,6,ACC
19,Final,17,Purdue* T,24,7,Big Ten
19,Final,18,UCLA*,15,3,Pac-10
19,Final,19,Arizona State*,23,4,Pac-10
19,Final,20,Xavier* R,19,1,A-10
19,Final,21,Louisiana State* R,20,1,SEC
19,Final,22,Butler* R,16,6,Horizon
19,Final,23,Marquette*,21,2,Big East
19,Final,24,Clemson*,17,7,ACC
19,Final,25,Utah* RT,,,MWC
Wk,Date,Rk,School,Prev,Chng,Conf
18,2009-03-09,1,North Carolina* RFN,2,1,ACC
18,2009-03-09,2,Pittsburgh*,3,1,Big East
18,2009-03-09,3,Connecticut* F,1,2,Big East
18,2009-03-09,4,Memphis* RT,5,1,CUSA
18,2009-03-09,5,Louisville* RT,6,1,Big East
18,2009-03-09,6,Oklahoma*,4,2,Big 12
18,2009-03-09,7,Michigan State* RF,8,1,Big Ten
18,2009-03-09,8,Wake Forest*,10,2,ACC
18,2009-03-09,9,Duke* T,7,2,ACC
18,2009-03-09,10,Villanova* F,11,1,Big East
18,2009-03-09,11,Kansas* R,9,2,Big 12
18,2009-03-09,12,Gonzaga* RT,14,2,WCC
18,2009-03-09,13,Washington* R,16,3,Pac-10
18,2009-03-09,14,Missouri* T,15,1,Big 12
18,2009-03-09,15,UCLA*,20,5,Pac-10
18,2009-03-09,16,Butler* R,22,6,Horizon
18,2009-03-09,17,Clemson*,18,1,ACC
18,2009-03-09,18,Syracuse*,25,7,Big East
18,2009-03-09,19,Xavier* R,17,2,A-10
18,2009-03-09,20,Louisiana State* R,12,8,SEC
18,2009-03-09,21,Marquette*,13,8,Big East
18,2009-03-09,22,Florida State*,24,2,ACC
18,2009-03-09,23,Arizona State*,21,2,Pac-10
18,2009-03-09,24,Purdue* T,19,5,Big Ten
18,2009-03-09,25,Brigham Young* R,,,MWC
Wk,Date,Rk,School,Prev,Chng,Conf
17,2009-03-02,1,Connecticut* F,2,1,Big East
17,2009-03-02,2,North Carolina* RFN,4,2,ACC
17,2009-03-02,3,Pittsburgh*,1,2,Big East
17,2009-03-02,4,Oklahoma*,3,1,Big 12
17,2009-03-02,5,Memphis* RT,5,NC,CUSA
17,2009-03-02,6,Louisville* RT,6,NC,Big East
17,2009-03-02,7,Duke* T,7,NC,ACC
17,2009-03-02,8,Michigan State* RF,9,1,Big Ten
17,2009-03-02,9,Kansas* R,15,6,Big 12
17,2009-03-02,10,Wake Forest*,13,3,ACC
