Wk,Date,Rk,School,Prev,Chng,Conf
17,Final,1,Temple* RT,1,NC,A-10
17,Final,2,Arizona* RTF,3,1,Pac-10
17,Final,3,Purdue* R,2,1,Big Ten
17,Final,4,Oklahoma* RTF,4,NC,Big 8
17,Final,5,Duke* TF,8,3,ACC
17,Final,6,Kentucky* RT,6,NC,SEC
17,Final,7,North Carolina* R,9,2,ACC
17,Final,8,Pittsburgh* R,5,3,Big East
17,Final,9,Syracuse* T,13,4,Big East
17,Final,10,Michigan*,10,NC,Big Ten
17,Final,11,Bradley* RT,12,1,MVC
17,Final,12,Nevada-Las Vegas* R,7,5,PCAA
17,Final,13,Wyoming* T,14,1,WAC
17,Final,14,North Carolina State*,11,3,ACC
17,Final,15,Loyola Marymount* RT,16,1,WCC
17,Final,16,Illinois*,19,3,Big Ten
17,Final,17,Iowa*,15,2,Big Ten
17,Final,18,Xavier* RT,20,2,MW Coll
17,Final,19,Brigham Young* R,17,2,WAC
17,Final,20,Kansas State*,,,Big 8
Wk,Date,Rk,School,Prev,Chng,Conf
16,1988-03-08,1,Temple* RT,1,NC,A-10
16,1988-03-08,2,Purdue* R,2,NC,Big Ten
16,1988-03-08,3,Arizona* RTF,3,NC,Pac-10
16,1988-03-08,4,Oklahoma* RTF,4,NC,Big 8
16,1988-03-08,5,Pittsburgh* R,7,2,Big East
16,1988-03-08,6,Kentucky* RT,8,2,SEC
16,1988-03-08,7,Nevada-Las Vegas* R,5,2,PCAA
16,1988-03-08,8,Duke* TF,9,1,ACC
16,1988-03-08,9,North Carolina* R,6,3,ACC
16,1988-03-08,10,Michigan*,10,NC,Big Ten
16,1988-03-08,11,North Carolina State*,16,5,ACC
16,1988-03-08,12,Bradley* RT,14,2,MVC
16,1988-03-08,13,Syracuse* T,12,1,Big East
16,1988-03-08,14,Wyoming* T,17,3,WAC
16,1988-03-08,15,Iowa*,11,4,Big Ten
16,1988-03-08,16,Loyola Marymount* RT,18,2,WCC
16,1988-03-08,17,Brigham Young* R,15,2,WAC
16,1988-03-08,18,Georgia Tech*,13,5,ACC
16,1988-03-08,19,Illinois*,,,Big Ten
16,1988-03-08,20,Xavier* RT,20,NC,MW Coll
Wk,Date,Rk,School,Prev,Chng,Conf
15,1988-03-01,1,Temple* RT,1,NC,A-10
15,1988-03-01,2,Purdue* R,2,NC,Big Ten
15,1988-03-01,3,Arizona* RTF,3,NC,Pac-10
15,1988-03-01,4,Oklahoma* RTF,4,NC,Big 8
15,1988-03-01,5,Nevada-Las Vegas* R,8,3,PCAA
15,1988-03-01,6,North Carolina* R,9,3,ACC
15,1988-03-01,7,Pittsburgh* R,6,1,Big East
15,1988-03-01,8,Kentucky* RT,12,4,SEC
15,1988-03-01,9,Duke* TF,5,4,ACC
15,1988-03-01,10,Michigan*,7,3,Big Ten
15,1988-03-01,11,Iowa*,13,2,Big Ten
15,1988-03-01,12,Syracuse* T,10,2,Big East
15,1988-03-01,13,Georgia Tech*,20,7,ACC
15,1988-03-01,14,Bradley* RT,14,NC,MVC
15,1988-03-01,15,Brigham Young* R,11,4,WAC
15,1988-03-01,16,North Carolina State*,,,ACC
15,1988-03-01,17,Wyoming* T,16,1,WAC
