Wk,Date,Rk,School,Prev,Chng,Conf
16,1990-03-06,1,Oklahoma* T,7,6,Big 8
16,1990-03-06,2,Kansas*,1,1,Big 8
16,1990-03-06,3,Nevada-Las Vegas* RTFN,3,NC,Big West
16,1990-03-06,4,Syracuse* R,9,5,Big East
16,1990-03-06,5,Missouri* R,2,3,Big 8
16,1990-03-06,6,Georgetown*,5,1,Big East
16,1990-03-06,7,Connecticut* RT,6,1,Big East
16,1990-03-06,8,Michigan State* R,13,5,Big Ten
16,1990-03-06,9,Purdue*,10,1,Big Ten
16,1990-03-06,10,Arkansas* RTF,12,2,SWC
16,1990-03-06,11,Duke* F,4,7,ACC
16,1990-03-06,12,La Salle* RT,14,2,MAAC
16,1990-03-06,13,Georgia Tech* TF,11,2,ACC
16,1990-03-06,14,Michigan*,8,6,Big Ten
16,1990-03-06,15,Clemson* R,,,ACC
16,1990-03-06,16,Arizona* RT,,,Pac-10
16,1990-03-06,17,New Mexico State*,19,2,Big West
16,1990-03-06,18,Louisville* RT,,,Metro
16,1990-03-06,19,Illinois*,17,2,Big Ten
16,1990-03-06,20,Minnesota*,20,NC,Big Ten
Wk,Date,Rk,School,Prev,Chng,Conf
15,1990-02-27,1,Kansas*,2,1,Big 8
15,1990-02-27,2,Missouri* R,1,1,Big 8
15,1990-02-27,3,Nevada-Las Vegas* RTFN,5,2,Big West
15,1990-02-27,4,Duke* F,4,NC,ACC
15,1990-02-27,5,Georgetown*,3,2,Big East
15,1990-02-27,6,Connecticut* RT,8,2,Big East
15,1990-02-27,7,Oklahoma* T,11,4,Big 8
15,1990-02-27,8,Michigan*,10,2,Big Ten
15,1990-02-27,9,Syracuse* R,9,NC,Big East
15,1990-02-27,10,Purdue*,7,3,Big Ten
15,1990-02-27,11,Georgia Tech* TF,6,5,ACC
15,1990-02-27,12,Arkansas* RTF,12,NC,SWC
15,1990-02-27,13,Michigan State* R,16,3,Big Ten
15,1990-02-27,14,La Salle* RT,14,NC,MAAC
15,1990-02-27,15,Oregon State* R,18,3,Pac-10
15,1990-02-27,15,Louisiana State*,13,2,SEC
15,1990-02-27,17,Illinois*,,,Big Ten
15,1990-02-27,18,Xavier* R,19,1,MW Coll
15,1990-02-27,19,New Mexico State*,19,NC,Big West
15,1990-02-27,20,Minnesota*,17,3,Big Ten
Wk,Date,Rk,School,Prev,Chng,Conf
14,1990-02-20,1,Missouri* R,4,3,Big 8
14,1990-02-20,2,Kansas*,1,1,Big 8
14,1990-02-20,3,Georgetown*,2,1,Big East
14,1990-02-20,4,Duke* F,5,1,ACC
14,1990-02-20,5,Nevada-Las Vegas* RTFN,7,2,Big West
14,1990-02-20,6,Georgia Tech* TF,11,5,ACC
14,1990-02-20,7,Purdue*,12,5,Big Ten
14,1990-02-20,8,Connecticut* RT,13,5,Big East
14,1990-02-20,9,Syracuse* R,3,6,Big East
14,1990-02-20,10,Michigan*,6,4,Big Ten
14,1990-02-20,11,Oklahoma* T,10,1,Big 8
14,1990-02-20,12,Arkansas* RTF,8,4,SWC
14,1990-02-20,13,Louisiana State*,9,4,SEC
14,1990-02-20,14,La Salle* RT,14,NC,MAAC
14,1990-02-20,15,Louisville* RT,,,Metro
14,1990-02-20,16,Michigan State* R,,,Big Ten
14,1990-02-20,17,Minnesota*,15,2,Big Ten
14,1990-02-20,18,Oregon State* R,16,2,Pac-10
14,1990-02-20,19,New Mexico State*,18,1,Big West
14,1990-02-20,19,Xavier* R,19,NC,MW Coll
Wk,Date,Rk,School,Prev,Chng,Conf
13,1990-02-13,1,Kansas*,2,1,Big 8
13,1990-02-13,2,Georgetown*,5,3,Big East
13,1990-02-13,3,Syracuse* R,6,3,Big East
13,1990-02-13,4,Missouri* R,1,3,Big 8
13,1990-02-13,5,Duke* F,4,1,ACC
13,1990-02-13,6,Michigan*,8,2,Big Ten
13,1990-02-13,7,Nevada-Las Vegas* RTFN,7,NC,Big West
13,1990-02-13,8,Arkansas* RTF,3,5,SWC
13,1990-02-13,9,Louisiana State*,12,3,SEC
13,1990-02-13,10,Oklahoma* T,10,NC,Big 8
13,1990-02-13,11,Georgia Tech* TF,15,4,ACC
13,1990-02-13,12,Purdue*,9,3,Big Ten
13,1990-02-13,13,Connecticut* RT,11,2,Big East
13,1990-02-13,14,La Salle* RT,16,2,MAAC
13,1990-02-13,15,Minnesota*,18,3,Big Ten
13,1990-02-13,16,Oregon State* R,17,1,Pac-10
13,1990-02-13,17,Illinois*,13,4,Big Ten
13,1990-02-13,18,New Mexico State*,19,1,Big West
13,1990-02-13,19,Xavier* R,,,MW Coll
13,1990-02-13,20,Loyola Marymount* R,,,WCC
Wk,Date,Rk,School,Prev,Chng,Conf
12,1990-02-06,1,Missouri* R,1,NC,Big 8
12,1990-02-06,2,Kansas*,2,NC,Big 8
12,1990-02-06,3,Arkansas* RTF,3,NC,SWC
12,1990-02-06,4,Duke* F,5,1,ACC
12,1990-02-06,5,Georgetown*,6,1,Big East
12,1990-02-06,6,Syracuse* R,7,1,Big East
12,1990-02-06,7,Nevada-Las Vegas* RTFN,10,3,Big West
12,1990-02-06,8,Michigan*,4,4,Big Ten
12,1990-02-06,9,Purdue*,9,NC,Big Ten
12,1990-02-06,10,Oklahoma* T,8,2,Big 8
12,1990-02-06,11,Connecticut* RT,14,3,Big East
12,1990-02-06,12,Louisiana State*,13,1,SEC
12,1990-02-06,13,Illinois*,11,2,Big Ten
12,1990-02-06,14,Louisville* RT,12,2,Metro
12,1990-02-06,15,Georgia Tech* TF,15,NC,ACC
12,1990-02-06,16,La Salle* RT,15,1,MAAC
12,1990-02-06,17,Oregon State* R,,,Pac-10
12,1990-02-06,18,Minnesota*,20,2,Big Ten
12,1990-02-06,19,New Mexico State*,,,Big West
12,1990-02-06,20,UCLA*,17,3,Pac-10
Wk,Date,Rk,School,Prev,Chng,Conf
11,1990-01-30,1,Missouri* R,1,NC,Big 8
11,1990-01-30,2,Kansas*,2,NC,Big 8
11,1990-01-30,3,Arkansas* RTF,9,6,SWC
11,1990-01-30,4,Michigan*,8,4,Big Ten
11,1990-01-30,5,Duke* F,7,2,ACC
11,1990-01-30,6,Georgetown*,3,3,Big East
11,1990-01-30,7,Syracuse* R,10,3,Big East
11,1990-01-30,8,Oklahoma* T,6,2,Big 8
11,1990-01-30,9,Purdue*,13,4,Big Ten
11,1990-01-30,10,Nevada-Las Vegas* RTFN,5,5,Big West
11,1990-01-30,11,Illinois*,12,1,Big Ten
11,1990-01-30,12,Louisville* RT,4,8,Metro
11,1990-01-30,13,Louisiana State*,13,NC,SEC
11,1990-01-30,14,Connecticut* RT,19,5,Big East
11,1990-01-30,15,Georgia Tech* TF,11,4,ACC
11,1990-01-30,15,La Salle* RT,18,3,MAAC
11,1990-01-30,17,UCLA*,,,Pac-10
11,1990-01-30,18,North Carolina*,,,ACC
11,1990-01-30,19,St. John's (NY)*,17,2,Big East
11,1990-01-30,20,Minnesota*,,,Big Ten
Wk,Date,Rk,School,Prev,Chng,Conf
10,1990-01-23,1,Missouri* R,4,3,Big 8
10,1990-01-23,2,Kansas*,1,1,Big 8
10,1990-01-23,3,Georgetown*,2,1,Big East
10,1990-01-23,4,Louisville* RT,10,6,Metro
10,1990-01-23,5,Nevada-Las Vegas* RTFN,9,4,Big West
10,1990-01-23,6,Oklahoma* T,3,3,Big 8
10,1990-01-23,7,Duke* F,8,1,ACC
10,1990-01-23,8,Michigan*,7,1,Big Ten
10,1990-01-23,9,Arkansas* RTF,13,4,SWC
10,1990-01-23,10,Syracuse* R,5,5,Big East
10,1990-01-23,11,Georgia Tech* TF,11,NC,ACC
10,1990-01-23,12,Illinois*,6,6,Big Ten
10,1990-01-23,13,Louisiana State*,12,1,SEC
10,1990-01-23,13,Purdue*,16,3,Big Ten
10,1990-01-23,15,Indiana*,14,1,Big Ten
10,1990-01-23,16,Oregon State* R,,,Pac-10
10,1990-01-23,17,St. John's (NY)*,17,NC,Big East
10,1990-01-23,18,La Salle* RT,19,1,MAAC
10,1990-01-23,19,Connecticut* RT,,,Big East
10,1990-01-23,20,Alabama* T,,,SEC
Wk,Date,Rk,School,Prev,Chng,Conf
9,1990-01-16,1,Kansas*,1,NC,Big 8
9,1990-01-16,2,Georgetown*,2,NC,Big East
9,1990-01-16,3,Oklahoma* T,3,NC,Big 8
9,1990-01-16,4,Missouri* R,5,1,Big 8
9,1990-01-16,5,Syracuse* R,6,1,Big East
9,1990-01-16,6,Illinois*,7,1,Big Ten
9,1990-01-16,7,Michigan*,4,3,Big Ten
9,1990-01-16,8,Duke* F,11,3,ACC
9,1990-01-16,9,Nevada-Las Vegas* RTFN,8,1,Big West
9,1990-01-16,10,Louisville* RT,10,NC,Metro
9,1990-01-16,11,Georgia Tech* TF,9,2,ACC
9,1990-01-16,12,Louisiana State*,13,1,SEC
9,1990-01-16,13,Arkansas* RTF,14,1,SWC
9,1990-01-16,14,Indiana*,12,2,Big Ten
9,1990-01-16,15,UCLA*,19,4,Pac-10
9,1990-01-16,16,Purdue*,,,Big Ten
9,1990-01-16,17,St. John's (NY)*,16,1,Big East
9,1990-01-16,18,Xavier* R,,,MW Coll
9,1990-01-16,19,La Salle* RT,,,MAAC
9,1990-01-16,19,Michigan State* R,,,Big Ten
Wk,Date,Rk,School,Prev,Chng,Conf
8,1990-01-09,1,Kansas*,2,1,Big 8
8,1990-01-09,2,Georgetown*,3,1,Big East
8,1990-01-09,3,Oklahoma* T,5,2,Big 8
8,1990-01-09,4,Michigan*,5,1,Big Ten
8,1990-01-09,5,Missouri* R,7,2,Big 8
8,1990-01-09,6,Syracuse* R,1,5,Big East
8,1990-01-09,7,Illinois*,4,3,Big Ten
8,1990-01-09,8,Nevada-Las Vegas* RTFN,9,1,Big West
8,1990-01-09,9,Georgia Tech* TF,12,3,ACC
8,1990-01-09,10,Louisville* RT,10,NC,Metro
8,1990-01-09,11,Duke* F,13,2,ACC
8,1990-01-09,12,Indiana*,8,4,Big Ten
8,1990-01-09,13,Louisiana State*,11,2,SEC
8,1990-01-09,14,Arkansas* RTF,14,NC,SWC
8,1990-01-09,15,Minnesota*,,,Big Ten
8,1990-01-09,16,St. John's (NY)*,,,Big East
8,1990-01-09,17,Arizona* RT,19,2,Pac-10
8,1990-01-09,18,Loyola Marymount* R,,,WCC
8,1990-01-09,19,UCLA*,15,4,Pac-10
8,1990-01-09,20,Alabama* T,18,2,SEC
Wk,Date,Rk,School,Prev,Chng,Conf
7,1990-01-02,1,Syracuse* R,1,NC,Big East
7,1990-01-02,2,Kansas*,2,NC,Big 8
7,1990-01-02,3,Georgetown*,3,NC,Big East
7,1990-01-02,4,Illinois*,4,NC,Big Ten
7,1990-01-02,5,Oklahoma* T,5,NC,Big 8
7,1990-01-02,5,Michigan*,6,1,Big Ten
7,1990-01-02,7,Missouri* R,6,1,Big 8
7,1990-01-02,8,Indiana*,8,NC,Big Ten
7,1990-01-02,9,Nevada-Las Vegas* RTFN,9,NC,Big West
7,1990-01-02,10,Louisville* RT,11,1,Metro
7,1990-01-02,11,Louisiana State*,12,1,SEC
7,1990-01-02,12,Georgia Tech* TF,13,1,ACC
7,1990-01-02,13,Duke* F,14,1,ACC
7,1990-01-02,14,Arkansas* RTF,10,4,SWC
7,1990-01-02,15,UCLA*,15,NC,Pac-10
7,1990-01-02,16,Colorado State* R,,,WAC
7,1990-01-02,17,Iowa,20,3,Big Ten
7,1990-01-02,18,Alabama* T,,,SEC
7,1990-01-02,19,Arizona* RT,16,3,Pac-10
7,1990-01-02,19,La Salle* RT,16,3,MAAC
Wk,Date,Rk,School,Prev,Chng,Conf
6,1989-12-26,1,Syracuse* R,1,NC,Big East
6,1989-12-26,2,Kansas*,2,NC,Big 8
6,1989-12-26,3,Georgetown*,3,NC,Big East
6,1989-12-26,4,Illinois*,5,1,Big Ten
6,1989-12-26,5,Oklahoma* T,7,2,Big 8
6,1989-12-26,6,Michigan*,6,NC,Big Ten
6,1989-12-26,6,Missouri* R,4,2,Big 8
6,1989-12-26,8,Indiana*,9,1,Big Ten
6,1989-12-26,9,Nevada-Las Vegas* RTFN,12,3,Big West
6,1989-12-26,10,Arkansas* RTF,11,1,SWC
6,1989-12-26,11,Louisville* RT,10,1,Metro
6,1989-12-26,12,Louisiana State*,8,4,SEC
6,1989-12-26,13,Georgia Tech* TF,13,NC,ACC
6,1989-12-26,14,Duke* F,14,NC,ACC
6,1989-12-26,15,UCLA*,16,1,Pac-10
6,1989-12-26,16,Arizona* RT,,,Pac-10
6,1989-12-26,16,La Salle* RT,,,MAAC
6,1989-12-26,18,Virginia*,,,ACC
6,1989-12-26,19,North Carolina*,20,1,ACC
6,1989-12-26,20,Iowa,15,5,Big Ten
Wk,Date,Rk,School,Prev,Chng,Conf
5,1989-12-19,1,Syracuse* R,1,NC,Big East
5,1989-12-19,2,Kansas*,2,NC,Big 8
5,1989-12-19,3,Georgetown*,3,NC,Big East
5,1989-12-19,4,Missouri* R,4,NC,Big 8
5,1989-12-19,5,Illinois*,5,NC,Big Ten
5,1989-12-19,6,Michigan*,7,1,Big Ten
5,1989-12-19,7,Oklahoma* T,8,1,Big 8
5,1989-12-19,8,Louisiana State*,9,1,SEC
5,1989-12-19,9,Indiana*,10,1,Big Ten
5,1989-12-19,10,Louisville* RT,11,1,Metro
5,1989-12-19,11,Arkansas* RTF,6,5,SWC
5,1989-12-19,12,Nevada-Las Vegas* RTFN,12,NC,Big West
5,1989-12-19,13,Georgia Tech* TF,16,3,ACC
5,1989-12-19,14,Duke* F,13,1,ACC
5,1989-12-19,15,Iowa,17,2,Big Ten
5,1989-12-19,16,UCLA*,14,2,Pac-10
5,1989-12-19,17,Oregon State* R,,,Pac-10
5,1989-12-19,18,Alabama* T,19,1,SEC
5,1989-12-19,19,St. John's (NY)*,,,Big East
5,1989-12-19,20,North Carolina*,,,ACC
5,1989-12-19,20,Arkansas-Little Rock* T,,,A-Sun
5,1989-12-19,20,Memphis,,,Metro
Wk,Date,Rk,School,Prev,Chng,Conf
4,1989-12-12,1,Syracuse* R,1,NC,Big East
4,1989-12-12,2,Kansas*,2,NC,Big 8
4,1989-12-12,3,Georgetown*,3,NC,Big East
4,1989-12-12,4,Missouri* R,4,NC,Big 8
4,1989-12-12,5,Illinois*,7,2,Big Ten
4,1989-12-12,6,Arkansas* RTF,9,3,SWC
4,1989-12-12,7,Michigan*,10,3,Big Ten
4,1989-12-12,8,Oklahoma* T,12,4,Big 8
4,1989-12-12,9,Louisiana State*,8,1,SEC
4,1989-12-12,10,Indiana*,13,3,Big Ten
4,1989-12-12,11,Louisville* RT,11,NC,Metro
4,1989-12-12,12,Nevada-Las Vegas* RTFN,5,7,Big West
4,1989-12-12,13,Duke* F,6,7,ACC
4,1989-12-12,14,UCLA*,14,NC,Pac-10
4,1989-12-12,15,North Carolina State,18,3,ACC
4,1989-12-12,16,Georgia Tech* TF,18,2,ACC
4,1989-12-12,17,Iowa,,,Big Ten
4,1989-12-12,18,Michigan State* R,,,Big Ten
4,1989-12-12,19,Alabama* T,16,3,SEC
4,1989-12-12,20,Oklahoma State,,,Big 8
Wk,Date,Rk,School,Prev,Chng,Conf
3,1989-12-05,1,Syracuse* R,1,NC,Big East
3,1989-12-05,2,Kansas*,2,NC,Big 8
3,1989-12-05,3,Georgetown*,4,1,Big East
3,1989-12-05,4,Missouri* R,6,2,Big 8
3,1989-12-05,5,Nevada-Las Vegas* RTFN,5,NC,Big West
3,1989-12-05,6,Duke* F,11,5,ACC
3,1989-12-05,7,Illinois*,8,1,Big Ten
3,1989-12-05,8,Louisiana State*,7,1,SEC
3,1989-12-05,9,Arkansas* RTF,9,NC,SWC
3,1989-12-05,10,Michigan*,12,2,Big Ten
3,1989-12-05,11,Louisville* RT,15,4,Metro
3,1989-12-05,12,Oklahoma* T,16,4,Big 8
3,1989-12-05,13,Indiana*,14,1,Big Ten
3,1989-12-05,14,UCLA*,13,1,Pac-10
3,1989-12-05,15,North Carolina*,10,5,ACC
3,1989-12-05,16,Alabama* T,,,SEC
3,1989-12-05,17,Arizona* RT,3,14,Pac-10
3,1989-12-05,18,Georgia Tech* TF,19,1,ACC
3,1989-12-05,18,North Carolina State,,,ACC
3,1989-12-05,20,Oregon State* R,,,Pac-10
Wk,Date,Rk,School,Prev,Chng,Conf
2,1989-11-27,1,Syracuse* R,2,1,Big East
2,1989-11-27,2,Kansas*,,,Big 8
2,1989-11-27,3,Arizona* RT,6,3,Pac-10
2,1989-11-27,4,Georgetown*,4,NC,Big East
2,1989-11-27,5,Nevada-Las Vegas* RTFN,1,4,Big West
2,1989-11-27,6,Missouri* R,10,4,Big 8
2,1989-11-27,7,Louisiana State*,3,4,SEC
2,1989-11-27,8,Illinois*,8,NC,Big Ten
2,1989-11-27,9,Arkansas* RTF,10,1,SWC
2,1989-11-27,10,North Carolina*,7,3,ACC
2,1989-11-27,11,Duke* F,9,2,ACC
2,1989-11-27,12,Michigan*,5,7,Big Ten
2,1989-11-27,13,UCLA*,13,NC,Pac-10
2,1989-11-27,14,Indiana*,12,2,Big Ten
2,1989-11-27,15,Louisville* RT,14,1,Metro
2,1989-11-27,16,Oklahoma* T,16,NC,Big 8
2,1989-11-27,17,Temple* RT,17,NC,A-10
2,1989-11-27,18,Oklahoma State,20,2,Big 8
