Wk,Date,Rk,School,Prev,Chng,Conf
19,Final,1,UCLA* RFN,1,NC,Pac-8
19,Final,2,Kentucky* RF,2,NC,SEC
19,Final,3,Indiana* R,3,NC,Big Ten
19,Final,4,Louisville* RF,4,NC,MVC
19,Final,5,Maryland* R,5,NC,ACC
19,Final,6,Syracuse* F,6,NC,Ind
19,Final,7,North Carolina State,8,1,ACC
19,Final,8,Arizona State* R,7,1,WAC
19,Final,9,North Carolina* T,9,NC,ACC
19,Final,10,Alabama* R,11,1,SEC
19,Final,11,Marquette*,10,1,Ind
19,Final,12,Princeton,13,1,Ivy
19,Final,13,Cincinnati*,12,1,Ind
19,Final,14,Notre Dame*,14,NC,Ind
19,Final,15,Kansas State*,15,NC,Big 8
19,Final,16,Drake,16,NC,MVC
19,Final,17,Nevada-Las Vegas* R,20,3,WCC
19,Final,18,Oregon State*,,,Pac-8
19,Final,19,Michigan*,19,NC,Big Ten
19,Final,20,Providence,,,Ind
Wk,Date,Rk,School,Prev,Chng,Conf
18,1975-03-25,1,UCLA* RFN,2,1,Pac-8
18,1975-03-25,2,Kentucky* RF,5,3,SEC
18,1975-03-25,3,Indiana* R,1,2,Big Ten
18,1975-03-25,4,Louisville* RF,3,1,MVC
18,1975-03-25,5,Maryland* R,4,1,ACC
18,1975-03-25,6,Syracuse* F,20,14,Ind
18,1975-03-25,7,Arizona State* R,7,NC,WAC
18,1975-03-25,8,North Carolina State,8,NC,ACC
18,1975-03-25,9,North Carolina* T,6,3,ACC
18,1975-03-25,10,Marquette*,10,NC,Ind
18,1975-03-25,11,Alabama* R,11,NC,SEC
18,1975-03-25,12,Cincinnati*,12,NC,Ind
18,1975-03-25,13,Princeton,,,Ivy
18,1975-03-25,14,Notre Dame*,9,5,Ind
18,1975-03-25,15,Kansas State*,17,2,Big 8
18,1975-03-25,16,Drake,14,2,MVC
18,1975-03-25,17,Pennsylvania* R,15,2,Ivy
18,1975-03-25,18,Centenary (LA),19,1,Ind
18,1975-03-25,19,Michigan*,,,Big Ten
18,1975-03-25,20,Nevada-Las Vegas* R,16,4,WCC
Wk,Date,Rk,School,Prev,Chng,Conf
17,1975-03-18,1,Indiana* R,1,NC,Big Ten
17,1975-03-18,2,UCLA* RFN,2,NC,Pac-8
17,1975-03-18,3,Louisville* RF,3,NC,MVC
17,1975-03-18,4,Maryland* R,4,NC,ACC
17,1975-03-18,5,Kentucky* RF,6,1,SEC
17,1975-03-18,6,North Carolina* T,7,1,ACC
17,1975-03-18,7,Arizona State* R,8,1,WAC
17,1975-03-18,8,North Carolina State,9,1,ACC
17,1975-03-18,9,Notre Dame*,12,3,Ind
17,1975-03-18,10,Marquette*,5,5,Ind
17,1975-03-18,11,Alabama* R,10,1,SEC
17,1975-03-18,12,Cincinnati*,17,5,Ind
17,1975-03-18,13,Oregon State*,15,2,Pac-8
17,1975-03-18,14,Drake,,,MVC
17,1975-03-18,15,Pennsylvania* R,11,4,Ivy
17,1975-03-18,16,Nevada-Las Vegas* R,,,WCC
17,1975-03-18,17,Kansas State*,,,Big 8
17,1975-03-18,18,Southern California,13,5,Pac-8
17,1975-03-18,19,Centenary (LA),17,2,Ind
17,1975-03-18,20,Syracuse* F,,,Ind
Wk,Date,Rk,School,Prev,Chng,Conf
16,1975-03-11,1,Indiana* R,1,NC,Big Ten
16,1975-03-11,2,UCLA* RFN,4,2,Pac-8
16,1975-03-11,3,Louisville* RF,3,NC,MVC
16,1975-03-11,4,Maryland* R,2,2,ACC
16,1975-03-11,5,Marquette*,5,NC,Ind
16,1975-03-11,6,Kentucky* RF,6,NC,SEC
16,1975-03-11,7,North Carolina* T,12,5,ACC
16,1975-03-11,8,Arizona State* R,9,1,WAC
16,1975-03-11,9,North Carolina State,8,1,ACC
16,1975-03-11,10,Alabama* R,7,3,SEC
16,1975-03-11,11,Pennsylvania* R,10,1,Ivy
16,1975-03-11,12,Notre Dame*,16,4,Ind
16,1975-03-11,13,Southern California,11,2,Pac-8
16,1975-03-11,14,Clemson,14,NC,ACC
16,1975-03-11,15,Oregon State*,15,NC,Pac-8
16,1975-03-11,16,Rutgers*,20,4,Ind
16,1975-03-11,17,Texas-El Paso*,18,1,WAC
16,1975-03-11,17,Centenary (LA),,,Ind
16,1975-03-11,17,Cincinnati*,,,Ind
16,1975-03-11,20,Texas-Pan American R,17,3,Ind
Wk,Date,Rk,School,Prev,Chng,Conf
15,1975-03-04,1,Indiana* R,1,NC,Big Ten
15,1975-03-04,2,Maryland* R,2,NC,ACC
15,1975-03-04,3,Louisville* RF,3,NC,MVC
15,1975-03-04,4,UCLA* RFN,5,1,Pac-8
15,1975-03-04,5,Marquette*,6,1,Ind
15,1975-03-04,6,Kentucky* RF,4,2,SEC
15,1975-03-04,7,Alabama* R,8,1,SEC
15,1975-03-04,8,North Carolina State,7,1,ACC
15,1975-03-04,9,Arizona State* R,9,NC,WAC
15,1975-03-04,10,Pennsylvania* R,10,NC,Ivy
15,1975-03-04,11,Southern California,12,1,Pac-8
15,1975-03-04,12,North Carolina* T,14,2,ACC
15,1975-03-04,13,Creighton*,13,NC,Ind
15,1975-03-04,14,Clemson,11,3,ACC
15,1975-03-04,15,Oregon State*,17,2,Pac-8
15,1975-03-04,16,Notre Dame*,16,NC,Ind
15,1975-03-04,17,Texas-Pan American R,18,1,Ind
15,1975-03-04,18,Texas-El Paso*,15,3,WAC
15,1975-03-04,19,Arizona,19,NC,WAC
15,1975-03-04,20,Rutgers*,,,Ind
