Wk,Date,Rk,School,Prev,Chng,Conf
15,Final,1,DePaul* R,2,1,Ind
15,Final,2,Oregon State* R,1,1,Pac-10
15,Final,3,Virginia* RF,4,1,ACC
15,Final,4,Louisiana State* RF,3,1,SEC
15,Final,5,Arizona State*,5,NC,Pac-10
15,Final,6,North Carolina* TF,11,5,ACC
15,Final,7,Indiana* RFN,13,6,Big Ten
15,Final,8,Kentucky*,8,NC,SEC
15,Final,9,Notre Dame*,7,2,Ind
15,Final,10,Utah* R,9,1,WAC
15,Final,11,UCLA*,14,3,Pac-10
15,Final,12,Iowa*,6,6,Big Ten
15,Final,13,Louisville* RT,18,5,Metro
15,Final,14,Wake Forest*,10,4,ACC
15,Final,15,Tennessee*,12,3,SEC
15,Final,16,Wyoming* R,16,NC,WAC
15,Final,17,Brigham Young*,19,2,WAC
15,Final,18,Illinois*,17,1,Big Ten
15,Final,19,Kansas* T,,,Big 8
15,Final,20,Maryland*,,,ACC
Wk,Date,Rk,School,Prev,Chng,Conf
14,1981-03-03,1,Oregon State* R,1,NC,Pac-10
14,1981-03-03,2,DePaul* R,2,NC,Ind
14,1981-03-03,3,Louisiana State* RF,4,1,SEC
14,1981-03-03,4,Virginia* RF,3,1,ACC
14,1981-03-03,5,Arizona State*,5,NC,Pac-10
14,1981-03-03,6,Iowa*,8,2,Big Ten
14,1981-03-03,7,Notre Dame*,6,1,Ind
14,1981-03-03,8,Kentucky*,9,1,SEC
14,1981-03-03,9,Utah* R,7,2,WAC
14,1981-03-03,10,Wake Forest*,11,1,ACC
14,1981-03-03,11,North Carolina* TF,10,1,ACC
14,1981-03-03,12,Tennessee*,12,NC,SEC
14,1981-03-03,13,Indiana* RFN,15,2,Big Ten
14,1981-03-03,14,UCLA*,13,1,Pac-10
14,1981-03-03,15,Arkansas* R,16,1,SWC
14,1981-03-03,16,Wyoming* R,,,WAC
14,1981-03-03,17,Illinois*,14,3,Big Ten
14,1981-03-03,18,Louisville* RT,,,Metro
14,1981-03-03,19,Brigham Young*,19,NC,WAC
14,1981-03-03,20,Missouri* R,,,Big 8
Wk,Date,Rk,School,Prev,Chng,Conf
13,1981-02-24,1,Oregon State* R,1,NC,Pac-10
13,1981-02-24,2,DePaul* R,3,1,Ind
13,1981-02-24,3,Virginia* RF,2,1,ACC
13,1981-02-24,4,Louisiana State* RF,4,NC,SEC
13,1981-02-24,5,Arizona State*,8,3,Pac-10
13,1981-02-24,6,Notre Dame*,11,5,Ind
13,1981-02-24,7,Utah* R,7,NC,WAC
13,1981-02-24,8,Iowa*,12,4,Big Ten
13,1981-02-24,9,Kentucky*,10,1,SEC
13,1981-02-24,10,North Carolina* TF,13,3,ACC
