Wk,Date,Rk,School,Prev,Chng,Conf
16,Final,1,UCLA* RFN,1,NC,Pac-8
16,Final,2,Marquette* R,2,NC,Ind
16,Final,3,Pennsylvania* R,4,1,Ivy
16,Final,4,Kansas* RF,5,1,Big 8
16,Final,5,Southern California,3,2,Pac-8
16,Final,6,South Carolina* T,7,1,ACC
16,Final,7,Western Kentucky* RF,8,1,OVC
16,Final,8,Kentucky* R,9,1,SEC
16,Final,9,Fordham*,10,1,Ind
16,Final,10,Ohio State* R,11,1,Big Ten
16,Final,11,Brigham Young* R,13,2,WAC
16,Final,11,Jacksonville*,6,5,Ind
16,Final,13,North Carolina R,14,1,ACC
16,Final,14,Notre Dame*,,,Ind
16,Final,14,Long Beach State* R,,,PCAA
16,Final,16,Drake* R,15,1,MVC
16,Final,17,Villanova* F,,,Ind
16,Final,18,Duquesne*,12,6,Ind
16,Final,18,Houston*,15,3,Ind
16,Final,20,Weber State* R,18,2,Big Sky
Wk,Date,Rk,School,Prev,Chng,Conf
15,1971-03-09,1,UCLA* RFN,1,NC,Pac-8
15,1971-03-09,2,Marquette* R,2,NC,Ind
15,1971-03-09,3,Southern California,3,NC,Pac-8
15,1971-03-09,4,Pennsylvania* R,4,NC,Ivy
15,1971-03-09,5,Kansas* RF,5,NC,Big 8
15,1971-03-09,6,Jacksonville*,8,2,Ind
15,1971-03-09,7,South Carolina* T,6,1,ACC
15,1971-03-09,8,Western Kentucky* RF,7,1,OVC
15,1971-03-09,9,Kentucky* R,10,1,SEC
15,1971-03-09,10,Fordham*,9,1,Ind
15,1971-03-09,11,Ohio State* R,13,2,Big Ten
15,1971-03-09,12,Duquesne*,12,NC,Ind
15,1971-03-09,13,Brigham Young* R,,,WAC
15,1971-03-09,14,North Carolina R,11,3,ACC
15,1971-03-09,15,Drake* R,,,MVC
15,1971-03-09,15,Hawaii,18,3,Ind
15,1971-03-09,15,Houston*,14,1,Ind
15,1971-03-09,18,Louisville R,15,3,MVC
15,1971-03-09,18,Weber State* R,18,NC,Big Sky
15,1971-03-09,18,La Salle,16,2,Mid-Atl
Wk,Date,Rk,School,Prev,Chng,Conf
14,1971-03-02,1,UCLA* RFN,1,NC,Pac-8
14,1971-03-02,2,Marquette* R,2,NC,Ind
14,1971-03-02,3,Southern California,3,NC,Pac-8
14,1971-03-02,4,Pennsylvania* R,4,NC,Ivy
14,1971-03-02,5,Kansas* RF,5,NC,Big 8
14,1971-03-02,6,South Carolina* T,7,1,ACC
14,1971-03-02,7,Western Kentucky* RF,8,1,OVC
14,1971-03-02,8,Jacksonville*,6,2,Ind
14,1971-03-02,9,Fordham*,9,NC,Ind
14,1971-03-02,10,Kentucky* R,12,2,SEC
14,1971-03-02,11,North Carolina R,13,2,ACC
14,1971-03-02,12,Duquesne*,11,1,Ind
14,1971-03-02,13,Ohio State* R,,,Big Ten
14,1971-03-02,14,Houston*,,,Ind
14,1971-03-02,15,Louisville R,13,2,MVC
14,1971-03-02,16,La Salle,13,3,Mid-Atl
14,1971-03-02,17,Utah State*,18,1,Ind
14,1971-03-02,18,Hawaii,18,NC,Ind
14,1971-03-02,18,Villanova* F,17,1,Ind
14,1971-03-02,18,Weber State* R,,,Big Sky
Wk,Date,Rk,School,Prev,Chng,Conf
13,1971-02-23,1,UCLA* RFN,1,NC,Pac-8
13,1971-02-23,2,Marquette* R,2,NC,Ind
13,1971-02-23,3,Southern California,3,NC,Pac-8
13,1971-02-23,4,Pennsylvania* R,4,NC,Ivy
13,1971-02-23,5,Kansas* RF,5,NC,Big 8
13,1971-02-23,6,Jacksonville*,6,NC,Ind
13,1971-02-23,7,South Carolina* T,9,2,ACC
13,1971-02-23,8,Western Kentucky* RF,7,1,OVC
13,1971-02-23,9,Fordham*,14,5,Ind
13,1971-02-23,10,Michigan,12,2,Big Ten
