Wk,Date,Rk,School,Prev,Chng,Conf
18,Final,1,Duke* RTFN,1,NC,ACC
18,Final,2,Kansas* RT,2,NC,Big 8
18,Final,3,Ohio State* R,5,2,Big Ten
18,Final,4,Indiana* F,4,NC,Big Ten
18,Final,5,UCLA* R,7,2,Pac-10
18,Final,6,Southern California*,8,2,Pac-10
18,Final,7,Arizona*,3,4,Pac-10
18,Final,8,Arkansas* R,6,2,SEC
18,Final,9,Kentucky* RT,11,2,SEC
18,Final,10,Oklahoma State*,10,NC,Big 8
18,Final,11,Cincinnati* RTF,12,1,GMWC
18,Final,12,Alabama*,14,2,SEC
18,Final,13,Missouri*,9,4,Big 8
18,Final,14,North Carolina*,16,2,ACC
18,Final,15,Michigan State*,16,1,Big Ten
18,Final,16,Michigan* F,15,1,Big Ten
18,Final,17,Florida State*,13,4,ACC
18,Final,18,Georgetown* R,19,1,Big East
18,Final,19,Seton Hall* R,18,1,Big East
18,Final,20,Syracuse* T,,,Big East
18,Final,21,Massachusetts* RT,25,4,A-10
18,Final,22,DePaul* R,20,2,GMWC
18,Final,23,St. John's (NY)* R,21,2,Big East
18,Final,24,Oklahoma*,22,2,Big 8
18,Final,25,Tulane* R,24,1,Metro
Wk,Date,Rk,School,Prev,Chng,Conf
17,1992-03-09,1,Duke* RTFN,1,NC,ACC
17,1992-03-09,2,Kansas* RT,3,1,Big 8
17,1992-03-09,3,Arizona*,4,1,Pac-10
17,1992-03-09,4,Indiana* F,2,2,Big Ten
17,1992-03-09,5,Ohio State* R,5,NC,Big Ten
17,1992-03-09,6,Arkansas* R,6,NC,SEC
17,1992-03-09,7,UCLA* R,7,NC,Pac-10
17,1992-03-09,8,Southern California*,10,2,Pac-10
17,1992-03-09,9,Missouri*,8,1,Big 8
17,1992-03-09,10,Oklahoma State*,11,1,Big 8
17,1992-03-09,11,Kentucky* RT,9,2,SEC
17,1992-03-09,12,Cincinnati* RTF,15,3,GMWC
17,1992-03-09,13,Florida State*,16,3,ACC
17,1992-03-09,14,Alabama*,17,3,SEC
17,1992-03-09,15,Michigan* F,18,3,Big Ten
17,1992-03-09,16,Michigan State*,12,4,Big Ten
17,1992-03-09,16,North Carolina*,13,3,ACC
17,1992-03-09,18,Seton Hall* R,22,4,Big East
17,1992-03-09,19,Georgetown* R,14,5,Big East
17,1992-03-09,20,DePaul* R,19,1,GMWC
17,1992-03-09,21,St. John's (NY)* R,25,4,Big East
17,1992-03-09,22,Oklahoma*,24,2,Big 8
17,1992-03-09,23,Louisiana State*,23,NC,SEC
17,1992-03-09,24,Tulane* R,20,4,Metro
17,1992-03-09,25,Massachusetts* RT,,,A-10
Wk,Date,Rk,School,Prev,Chng,Conf
16,1992-03-02,1,Duke* RTFN,1,NC,ACC
16,1992-03-02,2,Indiana* F,3,1,Big Ten
16,1992-03-02,3,Kansas* RT,2,1,Big 8
16,1992-03-02,4,Arizona*,6,2,Pac-10
16,1992-03-02,5,Ohio State* R,5,NC,Big Ten
16,1992-03-02,6,Arkansas* R,8,2,SEC
16,1992-03-02,7,UCLA* R,4,3,Pac-10
16,1992-03-02,8,Missouri*,7,1,Big 8
16,1992-03-02,9,Kentucky* RT,12,3,SEC
16,1992-03-02,10,Southern California*,13,3,Pac-10
16,1992-03-02,11,Oklahoma State*,9,2,Big 8
16,1992-03-02,12,Michigan State*,11,1,Big Ten
16,1992-03-02,13,North Carolina*,10,3,ACC
16,1992-03-02,14,Georgetown* R,17,3,Big East
16,1992-03-02,15,Cincinnati* RTF,18,3,GMWC
16,1992-03-02,16,Florida State*,21,5,ACC
16,1992-03-02,17,Alabama*,14,3,SEC
16,1992-03-02,18,Michigan* F,16,2,Big Ten
16,1992-03-02,19,DePaul* R,24,5,GMWC
16,1992-03-02,20,Tulane* R,15,5,Metro
16,1992-03-02,21,Syracuse* T,19,2,Big East
16,1992-03-02,22,Seton Hall* R,25,3,Big East
16,1992-03-02,23,Louisiana State*,,,SEC
16,1992-03-02,24,Oklahoma*,23,1,Big 8
16,1992-03-02,25,St. John's (NY)* R,22,3,Big East
Wk,Date,Rk,School,Prev,Chng,Conf
15,1992-02-24,1,Duke* RTFN,1,NC,ACC
15,1992-02-24,2,Kansas* RT,3,1,Big 8
15,1992-02-24,3,Indiana* F,7,4,Big Ten
15,1992-02-24,4,UCLA* R,2,2,Pac-10
15,1992-02-24,5,Ohio State* R,4,1,Big Ten
15,1992-02-24,6,Arizona*,5,1,Pac-10
