Wk,Date,Rk,School,Prev,Chng,Conf
19,Postseason,1,Maryland* RFN,,,ACC
19,Postseason,2,Kansas* RF,,,Big 12
19,Postseason,3,Indiana* RF,,,Big Ten
19,Postseason,4,Oklahoma* TF,,,Big 12
19,Postseason,5,Duke* T,,,ACC
19,Postseason,6,Oregon* R,,,Pac-10
19,Postseason,6,Connecticut* RT,,,Big East
19,Postseason,8,Cincinnati* RT,,,CUSA
19,Postseason,9,Pittsburgh* R,,,Big East
19,Postseason,10,Arizona* T,,,Pac-10
19,Postseason,11,Illinois* R,,,Big Ten
19,Postseason,12,Kent State* RT,,,MAC
19,Postseason,13,Kentucky* R,,,SEC
19,Postseason,14,Alabama* R,,,SEC
19,Postseason,15,Missouri*,,,Big 12
19,Postseason,16,Gonzaga* RT,,,WCC
19,Postseason,17,Ohio State* RT,,,Big Ten
19,Postseason,18,Texas*,,,Big 12
19,Postseason,18,Marquette*,,,CUSA
19,Postseason,20,UCLA*,,,Pac-10
19,Postseason,21,Mississippi State* T,,,SEC
19,Postseason,22,Southern Illinois* R,,,MVC
19,Postseason,23,Florida* R,,,SEC
19,Postseason,24,Xavier* RT,,,A-10
19,Postseason,25,North Carolina State*,,,ACC
Wk,Date,Rk,School,Prev,Chng,Conf
1,Final,1,Duke* T,NA,—,ACC
1,Final,2,Kansas* RF,NA,—,Big 12
1,Final,3,Oklahoma* TF,NA,—,Big 12
1,Final,4,Maryland* RFN,NA,—,ACC
1,Final,5,Cincinnati* RT,NA,—,CUSA
1,Final,6,Gonzaga* RT,NA,—,WCC
1,Final,7,Pittsburgh* R,NA,—,Big East
1,Final,8,Alabama* R,NA,—,SEC
1,Final,8,Arizona* T,NA,—,Pac-10
1,Final,10,Marquette*,NA,—,CUSA
1,Final,11,Oregon* R,NA,—,Pac-10
1,Final,12,Ohio State* RT,NA,—,Big Ten
1,Final,13,Connecticut* RT,NA,—,Big East
1,Final,14,Florida* R,NA,—,SEC
1,Final,15,Kentucky* R,NA,—,SEC
1,Final,16,Illinois* R,NA,—,Big Ten
1,Final,16,Southern California*,NA,—,Pac-10
1,Final,18,Mississippi State* T,NA,—,SEC
1,Final,19,Xavier* RT,NA,—,A-10
1,Final,20,Western Kentucky* RT,NA,—,Sun Belt
1,Final,21,Miami (FL)*,NA,—,Big East
1,Final,22,Oklahoma State*,NA,—,Big 12
1,Final,23,Stanford*,NA,—,Pac-10
1,Final,24,Hawaii* RT,NA,—,WAC
1,Final,25,North Carolina State*,NA,—,ACC
