Wk,Date,Rk,School,Prev,Chng,Conf
15,Final,1,DePaul* R,1,NC,Ind
15,Final,2,Louisiana State* T,6,4,SEC
15,Final,3,Kentucky* R,3,NC,SEC
15,Final,4,Louisville* RTFN,4,NC,Metro
15,Final,5,Oregon State* R,5,NC,Pac-10
15,Final,6,Syracuse* R,2,4,Big East
15,Final,7,Indiana* R,12,5,Big Ten
15,Final,8,Maryland* R,7,1,ACC
15,Final,9,Ohio State*,11,2,Big Ten
15,Final,10,Georgetown* RT,,,Big East
15,Final,11,Notre Dame*,15,4,Ind
15,Final,12,Brigham Young* R,13,1,WAC
15,Final,13,St. John's (NY)* R,8,5,Big East
15,Final,14,Missouri* R,9,5,Big 8
15,Final,15,North Carolina*,9,6,ACC
15,Final,16,Duke* T,,,ACC
15,Final,17,Weber State* RT,16,1,Big Sky
15,Final,18,Texas A&M* RT,18,NC,SWC
15,Final,19,Arizona State*,14,5,Pac-10
15,Final,20,Kansas State* T,,,Big 8
Wk,Date,Rk,School,Prev,Chng,Conf
14,1980-02-26,1,DePaul* R,1,NC,Ind
14,1980-02-26,2,Syracuse* R,2,NC,Big East
14,1980-02-26,3,Kentucky* R,4,1,SEC
14,1980-02-26,4,Louisville* RTFN,3,1,Metro
14,1980-02-26,5,Oregon State* R,5,NC,Pac-10
14,1980-02-26,6,Louisiana State* T,6,NC,SEC
14,1980-02-26,7,Maryland* R,7,NC,ACC
14,1980-02-26,8,St. John's (NY)* R,11,3,Big East
14,1980-02-26,9,Missouri* R,9,NC,Big 8
14,1980-02-26,9,North Carolina*,8,1,ACC
14,1980-02-26,11,Ohio State*,11,NC,Big Ten
14,1980-02-26,12,Indiana* R,13,1,Big Ten
14,1980-02-26,13,Brigham Young* R,14,1,WAC
14,1980-02-26,14,Arizona State*,17,3,Pac-10
14,1980-02-26,15,Notre Dame*,10,5,Ind
14,1980-02-26,16,Weber State* RT,16,NC,Big Sky
14,1980-02-26,17,North Carolina State*,20,3,ACC
14,1980-02-26,18,Texas A&M* RT,,,SWC
14,1980-02-26,19,Clemson*,18,1,ACC
14,1980-02-26,20,Iona*,,,ECACM
Wk,Date,Rk,School,Prev,Chng,Conf
13,1980-02-19,1,DePaul* R,1,NC,Ind
13,1980-02-19,2,Syracuse* R,2,NC,Big East
13,1980-02-19,3,Louisville* RTFN,3,NC,Metro
13,1980-02-19,4,Kentucky* R,5,1,SEC
13,1980-02-19,5,Oregon State* R,4,1,Pac-10
13,1980-02-19,6,Louisiana State* T,6,NC,SEC
13,1980-02-19,7,Maryland* R,7,NC,ACC
13,1980-02-19,8,North Carolina*,11,3,ACC
13,1980-02-19,9,Missouri* R,10,1,Big 8
13,1980-02-19,10,Notre Dame*,13,3,Ind
13,1980-02-19,11,Ohio State*,9,2,Big Ten
13,1980-02-19,11,St. John's (NY)* R,8,3,Big East
13,1980-02-19,13,Indiana* R,,,Big Ten
13,1980-02-19,14,Brigham Young* R,14,NC,WAC
13,1980-02-19,15,Purdue* F,12,3,Big Ten
13,1980-02-19,16,Weber State* RT,15,1,Big Sky
13,1980-02-19,17,Arizona State*,18,1,Pac-10
13,1980-02-19,18,Clemson*,16,2,ACC
13,1980-02-19,19,Washington State*,,,Pac-10
13,1980-02-19,20,North Carolina State*,20,NC,ACC
Wk,Date,Rk,School,Prev,Chng,Conf
12,1980-02-12,1,DePaul* R,1,NC,Ind
12,1980-02-12,2,Syracuse* R,2,NC,Big East
12,1980-02-12,3,Louisville* RTFN,3,NC,Metro
12,1980-02-12,4,Oregon State* R,4,NC,Pac-10
12,1980-02-12,5,Kentucky* R,6,1,SEC
12,1980-02-12,6,Louisiana State* T,7,1,SEC
12,1980-02-12,7,Maryland* R,5,2,ACC
12,1980-02-12,8,St. John's (NY)* R,8,NC,Big East
12,1980-02-12,9,Ohio State*,13,4,Big Ten
12,1980-02-12,10,Missouri* R,15,5,Big 8
12,1980-02-12,11,North Carolina*,11,NC,ACC
12,1980-02-12,12,Purdue* F,10,2,Big Ten
12,1980-02-12,13,Notre Dame*,9,4,Ind
