Wk,Date,Rk,School,Prev,Chng,Conf
15,Final,1,North Carolina* R,1,NC,ACC
15,Final,2,Georgetown* RTFN,2,NC,Big East
15,Final,3,Kentucky* RTF,3,NC,SEC
15,Final,4,DePaul* R,4,NC,Ind
15,Final,5,Houston* RTF,5,NC,SWC
15,Final,6,Illinois* R,7,1,Big Ten
15,Final,7,Arkansas*,8,1,SWC
15,Final,8,Oklahoma* R,6,2,Big 8
15,Final,9,Texas-El Paso* RT,9,NC,WAC
15,Final,10,Maryland* T,14,4,ACC
15,Final,11,Purdue* R,11,NC,Big Ten
15,Final,12,Tulsa* RT,13,1,MVC
15,Final,13,Nevada-Las Vegas* R,10,3,PCAA
15,Final,14,Duke*,,,ACC
15,Final,15,Washington* R,12,3,Pac-10
15,Final,16,Memphis* RT,20,4,Metro
15,Final,16,Syracuse*,,,Big East
15,Final,18,Indiana*,,,Big Ten
15,Final,19,Auburn*,,,SEC
15,Final,20,Oregon State* R,17,3,Pac-10
Wk,Date,Rk,School,Prev,Chng,Conf
14,1984-03-06,1,North Carolina* R,1,NC,ACC
14,1984-03-06,2,Georgetown* RTFN,4,2,Big East
14,1984-03-06,3,Kentucky* RTF,3,NC,SEC
14,1984-03-06,4,DePaul* R,5,1,Ind
14,1984-03-06,5,Houston* RTF,2,3,SWC
14,1984-03-06,6,Oklahoma* R,7,1,Big 8
14,1984-03-06,7,Illinois* R,10,3,Big Ten
14,1984-03-06,8,Arkansas*,12,4,SWC
14,1984-03-06,9,Texas-El Paso* RT,8,1,WAC
14,1984-03-06,10,Nevada-Las Vegas* R,6,4,PCAA
14,1984-03-06,11,Purdue* R,9,2,Big Ten
14,1984-03-06,12,Washington* R,13,1,Pac-10
14,1984-03-06,13,Tulsa* RT,11,2,MVC
14,1984-03-06,14,Maryland* T,19,5,ACC
14,1984-03-06,15,Temple* R,15,NC,A-10
14,1984-03-06,16,Illinois State* R,,,MVC
14,1984-03-06,17,Oregon State* R,20,3,Pac-10
14,1984-03-06,18,Louisville* R,,,Metro
14,1984-03-06,19,Weber State R,,,Big Sky
14,1984-03-06,20,Memphis* RT,14,6,Metro
