Wk,Date,Rk,School,Prev,Chng,Conf
17,Final,1,Indiana State* RTF,1,NC,MVC
17,Final,2,UCLA* R,2,NC,Pac-10
17,Final,3,Michigan State* RFN,4,1,Big Ten
17,Final,4,Notre Dame*,5,1,Ind
17,Final,5,Arkansas* RT,7,2,SWC
17,Final,6,DePaul* F,8,2,Ind
17,Final,7,Louisiana State* R,9,2,SEC
17,Final,8,Syracuse* R,10,2,Ind
17,Final,9,North Carolina* RT,3,6,ACC
17,Final,10,Marquette*,12,2,Ind
17,Final,11,Duke* R,6,5,ACC
17,Final,12,San Francisco* R,19,7,WCC
17,Final,13,Louisville* R,18,5,Metro
17,Final,14,Pennsylvania* RF,,,Ivy
17,Final,15,Purdue R,16,1,Big Ten
17,Final,16,Oklahoma* RT,,,Big 8
17,Final,17,St. John's (NY)*,,,NJNY7
17,Final,18,Rutgers* T,,,EAA
17,Final,19,Toledo* R,,,MAC
17,Final,20,Iowa* R,14,6,Big Ten
Wk,Date,Rk,School,Prev,Chng,Conf
16,1979-03-06,1,Indiana State* RTF,1,NC,MVC
16,1979-03-06,2,UCLA* R,3,1,Pac-10
16,1979-03-06,3,North Carolina* RT,7,4,ACC
16,1979-03-06,4,Michigan State* RFN,4,NC,Big Ten
16,1979-03-06,5,Notre Dame*,2,3,Ind
16,1979-03-06,6,Duke* R,5,1,ACC
16,1979-03-06,7,Arkansas* RT,9,2,SWC
16,1979-03-06,8,DePaul* F,15,7,Ind
16,1979-03-06,9,Louisiana State* R,8,1,SEC
16,1979-03-06,10,Syracuse* R,6,4,Ind
16,1979-03-06,11,Georgetown*,16,5,Ind
16,1979-03-06,12,Marquette*,10,2,Ind
16,1979-03-06,13,Temple* RT,12,1,ECC
16,1979-03-06,14,Iowa* R,11,3,Big Ten
16,1979-03-06,15,Texas* R,14,1,SWC
16,1979-03-06,16,Purdue R,19,3,Big Ten
16,1979-03-06,17,Detroit Mercy*,18,1,Ind
16,1979-03-06,18,Louisville* R,13,5,Metro
