Wk,Date,Rk,School,Prev,Chng,Conf
16,Final,1,Georgetown* TF,1,NC,Big East
16,Final,2,Michigan* R,3,1,Big Ten
16,Final,3,St. John's (NY)* RF,2,1,Big East
16,Final,4,Memphis* RTF,4,NC,Metro
16,Final,5,Oklahoma* RT,5,NC,Big 8
16,Final,6,Georgia Tech* RT,11,5,ACC
16,Final,7,North Carolina* R,7,NC,ACC
16,Final,8,Louisiana Tech* RT,6,2,Southland
16,Final,9,Nevada-Las Vegas* RT,10,1,PCAA
16,Final,10,Illinois*,14,4,Big Ten
16,Final,11,Virginia Commonwealth* RT,15,4,Sun Belt
16,Final,12,Duke*,9,3,ACC
16,Final,13,Kansas*,8,5,Big 8
16,Final,14,Tulsa* R,13,1,MVC
16,Final,15,Syracuse*,12,3,Big East
16,Final,16,Texas Tech* RT,,,SWC
16,Final,17,Loyola (IL)* RT,18,1,MW City
16,Final,18,North Carolina State* R,17,1,ACC
16,Final,19,Louisiana State* R,19,NC,SEC
16,Final,20,Michigan State*,,,Big Ten
Wk,Date,Rk,School,Prev,Chng,Conf
15,1985-03-05,1,Georgetown* TF,2,1,Big East
15,1985-03-05,2,St. John's (NY)* RF,1,1,Big East
15,1985-03-05,3,Michigan* R,3,NC,Big Ten
15,1985-03-05,4,Memphis* RTF,4,NC,Metro
15,1985-03-05,5,Oklahoma* RT,6,1,Big 8
15,1985-03-05,6,Louisiana Tech* RT,7,1,Southland
15,1985-03-05,7,North Carolina* R,11,4,ACC
15,1985-03-05,8,Kansas*,8,NC,Big 8
15,1985-03-05,9,Duke*,5,4,ACC
15,1985-03-05,10,Nevada-Las Vegas* RT,10,NC,PCAA
15,1985-03-05,11,Georgia Tech* RT,13,2,ACC
15,1985-03-05,12,Syracuse*,12,NC,Big East
15,1985-03-05,13,Tulsa* R,14,1,MVC
15,1985-03-05,14,Illinois*,16,2,Big Ten
15,1985-03-05,15,Virginia Commonwealth* RT,18,3,Sun Belt
15,1985-03-05,16,Southern Methodist*,9,7,SWC
15,1985-03-05,17,North Carolina State* R,19,2,ACC
15,1985-03-05,18,Loyola (IL)* RT,,,MW City
15,1985-03-05,19,Louisiana State* R,20,1,SEC
15,1985-03-05,20,Georgia*,15,5,SEC
Wk,Date,Rk,School,Prev,Chng,Conf
14,1985-02-26,1,St. John's (NY)* RF,1,NC,Big East
14,1985-02-26,2,Georgetown* TF,2,NC,Big East
14,1985-02-26,3,Michigan* R,6,3,Big Ten
14,1985-02-26,4,Memphis* RTF,4,NC,Metro
14,1985-02-26,5,Duke*,5,NC,ACC
14,1985-02-26,6,Oklahoma* RT,3,3,Big 8
14,1985-02-26,7,Louisiana Tech* RT,10,3,Southland
14,1985-02-26,8,Kansas*,13,5,Big 8
14,1985-02-26,9,Southern Methodist*,8,1,SWC
14,1985-02-26,10,Nevada-Las Vegas* RT,11,1,PCAA
14,1985-02-26,11,North Carolina* R,15,4,ACC
14,1985-02-26,12,Syracuse*,7,5,Big East
14,1985-02-26,13,Georgia Tech* RT,9,4,ACC
14,1985-02-26,14,Tulsa* R,12,2,MVC
14,1985-02-26,15,Georgia*,,,SEC
14,1985-02-26,16,Illinois*,14,2,Big Ten
14,1985-02-26,17,Arizona*,,,Pac-10
14,1985-02-26,18,Virginia Commonwealth* RT,18,NC,Sun Belt
14,1985-02-26,19,North Carolina State* R,,,ACC
14,1985-02-26,20,Louisiana State* R,,,SEC
Wk,Date,Rk,School,Prev,Chng,Conf
13,1985-02-19,1,St. John's (NY)* RF,1,NC,Big East
13,1985-02-19,2,Georgetown* TF,2,NC,Big East
13,1985-02-19,3,Oklahoma* RT,5,2,Big 8
